bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	3588099	53	96602	36.32666940105345	94.36619718309859	7.042253521126761
Bin_1	Unknown	546058	11	47740	43.25607285677432	0.0	0.0
Bin_10	Unknown	33519	3	13152	43.42574663519162	0.0	0.0
Bin_100	Unknown	7523597	46	317166	43.30276996528855	97.1830985915493	109.85915492957747
Bin_101	Unknown	13159698	239	76082	30.449321969258175	0.0	0.0
Bin_102	Unknown	2882835	62	61641	49.07578968968186	61.971830985915496	40.84507042253521
Bin_103	Unknown	372918	2	333876	40.292676918248695	0.0	0.0
Bin_104	Unknown	61434	2	36318	50.61153946004433	0.0	0.0
Bin_105	Unknown	1954759	19	167393	45.66454504812037	40.84507042253521	9.859154929577464
Bin_106	Unknown	2135409	36	120349	30.27736658909778	0.0	0.0
Bin_107	Unknown	19817070	400	76132	27.443691008004535	19.718309859154928	2.816901408450704
Bin_108	Unknown	14580836	169	168804	45.91832129279504	90.14084507042253	832.3943661971831
Bin_109	Unknown	42518	4	28454	72.08754332142396	0.0	0.0
Bin_11	Unknown	1529882	30	70838	50.235272200785076	53.521126760563384	9.859154929577464
Bin_110	Unknown	4692766	858	12068	60.16649318818388	59.15492957746479	35.2112676056338
Bin_111	Unknown	43557	4	24226	45.626695915930696	0.0	0.0
Bin_112	Unknown	9580750	484	35683	41.878467648889696	0.0	0.0
Bin_113	Unknown	385936	5	110642	48.68226232155384	0.0	0.0
Bin_114	Unknown	1386210	11	258147	48.59693660656432	59.15492957746479	5.633802816901408
Bin_115	Unknown	2985960	4	1631724	54.102640566488446	91.54929577464789	19.718309859154928
Bin_116	Unknown	1382832	12	152469	48.06596059883503	74.64788732394366	22.535211267605632
Bin_117	Unknown	53646	1	53646	48.47229129285518	0.0	0.0
Bin_118	Unknown	4882657	43	298802	55.980809711238656	95.77464788732394	107.04225352112677
Bin_119	Unknown	26953238	428	101481	46.21847207692188	97.1830985915493	528.169014084507
Bin_12	Unknown	215713	30	16812	38.50641266045864	0.0	0.0
Bin_120	Unknown	199967	38	13457	31.726952988097533	0.0	0.0
