bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	2125501	33	151701	25.584439613737764	88.73239436619718	23.943661971830984
Bin_1	Unknown	5558	1	5558	54.33609211946744	0.0	0.0
Bin_100	Unknown	242117	18	37576	51.440553721243255	0.0	0.0
Bin_101_1	Unknown	1442099	17	105789	25.114006507439896	78.87323943661971	21.12676056338028
Bin_101_2	Unknown	1258609	15	148576	28.3821383148673	71.83098591549296	15.492957746478874
Bin_101_3	Unknown	930900	18	81966	27.86729760317652	54.929577464788736	15.492957746478874
Bin_102	Unknown	2010390	33	97546	50.93215496128032	70.4225352112676	15.492957746478874
Bin_103	Unknown	28361	3	15089	46.78344455075933	0.0	0.0
Bin_105_1	Unknown	2800003	29	340481	32.7747167170595	97.1830985915493	0.0
Bin_106	Unknown	3519788	55	86236	44.402980706124815	59.15492957746479	11.267605633802816
Bin_107	Unknown	8937	1	8937	27.089627391742194	0.0	0.0
Bin_108	Unknown	1916084	44	61482	45.11268232094816	63.38028169014085	22.535211267605632
Bin_109	Unknown	545016	14	45215	50.35882674150321	0.0	0.0
Bin_10_1	Unknown	2595289	2	2520276	56.96744576945565	100.0	1.408450704225352
Bin_110	Unknown	4840314	86	73910	47.264028622715166	66.19718309859155	9.859154929577464
Bin_111	Unknown	1737303	60	33670	42.115704841323364	73.2394366197183	18.309859154929576
Bin_112_1	Unknown	3718916	6	1078132	46.99664101254271	100.0	4.225352112676056
Bin_113	Unknown	86108	2	80878	39.951480347713336	0.0	0.0
Bin_114_1	Unknown	2512580	5	967885	40.58646046431044	87.32394366197182	5.633802816901408
Bin_114_2	Unknown	1673624	45	50568	43.7404308128978	49.29577464788732	8.450704225352112
Bin_115	Unknown	2932919	60	82411	50.3413557844139	64.78873239436619	7.042253521126761
Bin_116	Unknown	49484	4	40962	52.757427458128234	0.0	0.0
Bin_117	Unknown	17868	2	9039	23.524212311079822	0.0	0.0
Bin_118	Unknown	2389446	393	13806	58.1337601871317	40.84507042253521	21.12676056338028
Bin_119	Unknown	375809	7	308790	47.17909351222845	0.0	0.0
Bin_11_1	Unknown	2280543	56	52265	42.07676868849239	39.436619718309856	8.450704225352112
Bin_11_2	Unknown	3396612	18	319138	44.17036298146783	85.91549295774648	18.309859154929576
Bin_12	Unknown	7860	2	6384	46.47632801515985	0.0	0.0
Bin_13	Unknown	1267994	24	64333	32.30105020275305	53.521126760563384	29.577464788732396
Bin_14_1	Unknown	2634229	3	1936472	49.1513065321927	100.0	1.408450704225352
Bin_15	Unknown	106384	4	38820	35.05079436787845	0.0	0.0
Bin_16	Unknown	2291087	50	53029	46.757287983741556	36.61971830985915	15.492957746478874
Bin_18	Unknown	1329142	28	56968	56.84157036587859	36.61971830985915	7.042253521126761
Bin_19	Unknown	760168	21	37887	54.439717423777964	0.0	0.0
