bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	1358254	18	134010	25.304683782182106	66.19718309859155	16.901408450704224
Bin_100	16095823	237	92650	34.702899013925155	52.11267605633803	21.12676056338028
Bin_101_2	2944456	75	76300	50.25515539743118	74.64788732394366	14.084507042253522
Bin_102_1	2596995	2	2316188	49.41909397697969	90.14084507042253	7.042253521126761
Bin_102_3	3453981	11	428772	45.78076604715571	95.77464788732394	5.633802816901408
Bin_103_16	5646959	161	116687	47.961794651309816	98.59154929577464	4.225352112676056
Bin_104	54591	11	13577	49.86042575402104	0.0	0.0
Bin_105	2252379	55	57975	41.689140581383775	67.6056338028169	25.35211267605634
Bin_106	92016	19	12852	51.97254366565388	0.0	0.0
Bin_107	1043122	39	37080	46.35112300170502	0.0	0.0
Bin_108	18738	3	11648	36.292243087414604	0.0	0.0
Bin_109	15775	1	15775	49.05229793977813	0.0	0.0
Bin_11	2974064	31	243303	47.22595968709605	61.971830985915496	14.084507042253522
Bin_110	492746	11	56778	44.279207314298766	47.88732394366197	12.67605633802817
Bin_111	6677	3	2482	27.20337261522533	0.0	0.0
Bin_112	153625	5	41514	45.19212489482933	0.0	0.0
Bin_113_1	4681411	13	733805	41.70292019636099	94.36619718309859	7.042253521126761
Bin_113_2	4518346	24	1269120	47.19768997122015	100.0	1.408450704225352
Bin_113_4	3685776	35	193491	46.806145671337276	71.83098591549296	12.67605633802817
Bin_113_5	2962255	131	30162	41.627119044332446	52.11267605633803	18.309859154929576
Bin_114	43104	2	23549	42.389328532935224	0.0	0.0
Bin_115	4420157	11	4286836	45.11999351693608	100.0	1.408450704225352
Bin_116	25054929	473	74553	27.46234398194231	35.526315789473685	21.05263157894737
Bin_117	1342555	31	54724	41.54429108901269	59.15492957746479	11.267605633802816
Bin_118_1	3117438	1	3117438	40.776541940659286	98.59154929577464	0.0
Bin_118_2	1543018	41	50834	40.46902177911002	57.74647887323944	5.633802816901408
Bin_119	45165	8	10698	24.704619736662593	0.0	0.0
Bin_12	138415	12	21243	39.943911893869185	0.0	0.0
Bin_120	442535	42	19191	41.91443089360051	0.0	0.0
Bin_121_1	2255893	33	103789	50.630992617834615	88.73239436619718	11.267605633802816
Bin_121_5	1984567	51	64421	55.29687704562984	67.6056338028169	12.67605633802817
Bin_122	45474	6	9030	37.482001715171464	0.0	0.0
Bin_124	1603741	380	7117	29.51090152610944	0.0	0.0
Bin_125	1512	1	1512	44.44444444444444	0.0	0.0
Bin_126	3025901	48	107581	46.133260935388165	74.64788732394366	7.042253521126761
Bin_127	54792	5	12853	29.728427109297535	0.0	0.0
Bin_128	4584	1	4584	31.195462478184993	0.0	0.0
Bin_129_1	1524444	1	1524444	27.729389563978906	84.50704225352112	19.718309859154928
Bin_129_11	1877951	16	212019	25.86204007204234	84.50704225352112	18.309859154929576
Bin_129_4	1089865	29	46691	30.605437411634185	60.563380281690144	15.492957746478874
Bin_129_8	1361864	23	90726	28.28511242136291	71.83098591549296	16.901408450704224
Bin_129_9	1814996	6	456288	28.6173790086766	81.69014084507042	11.267605633802816
Bin_13	6848	1	6848	49.92698598130841	0.0	0.0
Bin_130	302325	5	86571	34.288601937907174	0.0	0.0
Bin_131	103010379	1603	88678	27.01594931551124	28.91566265060241	14.457831325301205
Bin_132	633797	36	19498	53.55738782737179	0.0	0.0
Bin_133	1565029	28	105311	45.984489519516366	70.4225352112676	8.450704225352112
Bin_134	1180558	33	46114	50.001922498163395	0.0	0.0
Bin_135_1	1862554	4	1439830	34.03606983652039	97.1830985915493	0.0
Bin_135_4	926952	5	284184	39.63271939000441	85.91549295774648	9.859154929577464
Bin_136	122082	19	8932	40.69678287336079	0.0	0.0
Bin_137_1	1624110	9	319424	26.377981346591316	88.73239436619718	16.901408450704224
Bin_138	39288	6	11928	54.341418868568745	0.0	0.0
Bin_139	2654281	84	36861	37.28911663934549	64.78873239436619	14.084507042253522
Bin_14	3495051	82	58789	48.36528755493397	71.83098591549296	15.492957746478874
Bin_140	2597	1	2597	44.20485175202156	0.0	0.0
Bin_141	4356540	21	650496	47.412532526754134	100.0	8.450704225352112
Bin_142_1	5749947	6	3612013	44.66862706078757	95.77464788732394	4.225352112676056
Bin_142_2	4317264	9	952410	46.11983513189557	100.0	11.267605633802816
Bin_142_5	843868	1	843868	51.11641861998366	59.15492957746479	4.225352112676056
Bin_143	2928112	105	35955	51.16390100936932	73.2394366197183	15.492957746478874
Bin_144	3423719	61	89433	48.666292473813385	77.46478873239437	36.61971830985915
Bin_145	3769107	274	38320	27.59224805465928	0.0	0.0
Bin_146_1	2613121	3	1628732	50.16770587804476	92.95774647887323	15.492957746478874
Bin_147	299277	12	43434	38.84101994157246	0.0	0.0
Bin_148_2	2630771	31	128680	58.81231223545803	87.32394366197182	15.492957746478874
Bin_149	4489864	227	35178	31.349085256423436	0.0	0.0
Bin_15	1882690	36	73959	49.31556776895519	77.46478873239437	18.309859154929576
Bin_16_1	2634827	2	2418785	53.18039091215533	97.1830985915493	5.633802816901408
Bin_16_2	2288703	28	137309	49.03531300934404	69.01408450704226	5.633802816901408
Bin_17_1	4218792	11	1243986	49.23892643601238	95.77464788732394	4.225352112676056
Bin_17_2	2042575	3	1273848	50.78589995384435	77.46478873239437	4.225352112676056
Bin_17_3	3070744	12	795560	51.247728058715495	77.46478873239437	18.309859154929576
Bin_18_1	1084838	2	1082077	46.67068502670262	70.4225352112676	2.816901408450704
Bin_18_10	880777	2	619673	46.77258709356363	74.64788732394366	4.225352112676056
Bin_18_11	885466	13	104621	43.21689569152044	49.29577464788732	4.225352112676056
Bin_18_13	823156	3	584416	48.28600926134751	76.05633802816901	1.408450704225352
Bin_18_14	791503	3	689658	43.97365570273013	71.83098591549296	7.042253521126761
Bin_18_15	687256	5	187205	45.29686853193047	50.70422535211268	7.042253521126761
Bin_18_16	1074302	5	1029504	46.0155499108005	74.64788732394366	2.816901408450704
Bin_18_2	1121661	8	289280	44.39694864755892	70.4225352112676	5.633802816901408
Bin_19	1191422	40	42646	29.737065483619368	40.84507042253521	28.169014084507044
Bin_1_3	2374650	32	141647	60.079113733032266	80.28169014084507	7.042253521126761
Bin_2	5325252	166	48581	50.29908791216933	83.09859154929578	53.521126760563384
Bin_20_1	1326268	1	1326268	45.56590239156262	90.14084507042253	7.042253521126761
Bin_21	2168014	75	36772	41.93607095298591	39.436619718309856	11.267605633802816
Bin_22	1358786	53	35667	61.9078069962984	38.028169014084504	12.67605633802817
Bin_23	31224	2	19065	45.71239624671502	0.0	0.0
Bin_24	1575896	15	378073	38.91679122879291	71.83098591549296	7.042253521126761
Bin_25	133966	28	8817	32.66523333069735	0.0	0.0
Bin_26	1206450	7	261843	43.78558218972033	0.0	0.0
Bin_27	1038964	53	23572	42.9869466248161	21.12676056338028	2.816901408450704
Bin_28	9645495	340	41938	49.47905217919032	66.19718309859155	70.4225352112676
Bin_29	81162	14	8255	40.38662799317652	0.0	0.0
Bin_3	1512459	47	48769	48.95315564036246	0.0	0.0
Bin_30	4237506	136	46152	45.93180814668708	78.87323943661971	15.492957746478874
Bin_31	6452	1	6452	29.432734035957843	0.0	0.0
Bin_32	2138210	78	40189	44.080661454682634	0.0	0.0
Bin_33	3670	3	1215	61.66133620033166	0.0	0.0
Bin_34	65016	1	65016	46.016203855128516	0.0	0.0
Bin_35_1	2703480	50	67886	50.197836923983544	84.50704225352112	16.901408450704224
Bin_35_2	4551575	143	40392	48.79823259586711	66.19718309859155	16.901408450704224
Bin_36	4496038	142	41734	46.87024096472241	83.09859154929578	39.436619718309856
Bin_37_1	4181457	3	2145927	42.187822739832875	71.83098591549296	2.816901408450704
Bin_37_4	2167765	50	88970	45.177281759025	61.971830985915496	9.859154929577464
Bin_37_6	927546	2	878972	41.67396197894208	53.521126760563384	4.225352112676056
Bin_38	2615706	44	108605	30.684763343029314	81.69014084507042	12.67605633802817
Bin_39	85770	17	5773	27.35336595434193	0.0	0.0
Bin_40	883771	16	67077	42.89792240743304	74.64788732394366	21.12676056338028
Bin_41	5682	2	4144	36.653130350302	0.0	0.0
Bin_42	6585176	160	62290	47.38373780810073	63.38028169014085	43.66197183098591
Bin_43_1	2920555	42	135111	44.882063420574234	91.54929577464789	4.225352112676056
Bin_44_1	1767198	11	279785	34.30536615704422	73.2394366197183	5.633802816901408
Bin_45	3453548	2	3451042	38.32493770672704	100.0	0.0
Bin_46_1	1868068	1	1868068	37.576358914473076	97.1830985915493	1.408450704225352
Bin_46_2	2339014	37	157207	43.06634418369635	95.77464788732394	4.225352112676056
Bin_47	72358	4	42527	29.121085686867737	0.0	0.0
Bin_48	5836	2	3459	73.28087435203147	0.0	0.0
Bin_49	29866938	882	53885	28.008298488009416	0.0	0.0
Bin_4_1	2904585	11	377388	43.63326972584002	53.521126760563384	8.450704225352112
Bin_4_2	1968396	24	173587	46.39595324910885	56.33802816901409	7.042253521126761
Bin_5	2030216	85	37450	58.0759221011974	63.38028169014085	9.859154929577464
Bin_50_1	2290546	2	2046935	43.97693699952049	73.2394366197183	0.0
Bin_50_2	1506154	4	1265313	45.55216395703486	90.14084507042253	0.0
Bin_50_3	760476	2	758266	31.649846332933944	80.28169014084507	5.633802816901408
Bin_51	17350	2	9077	41.594745605645485	0.0	0.0
Bin_53_1	2881598	2	2711825	47.02755801414133	92.95774647887323	1.408450704225352
Bin_53_2	2886711	14	1947142	41.17603951104939	94.36619718309859	2.816901408450704
Bin_54	40344	5	12643	48.26266041185175	0.0	0.0
Bin_55	16357	2	10848	41.48802194692407	0.0	0.0
Bin_56	178138	68	3138	49.054062802819374	0.0	0.0
Bin_57	5081530	76	330820	47.26224841480397	100.0	2.816901408450704
Bin_58_1	3348000	4	3308488	47.34740102020302	100.0	4.225352112676056
Bin_58_2	2689699	15	248272	50.67475323249724	94.36619718309859	14.084507042253522
Bin_59	5052820	76	154555	42.24373161556812	61.971830985915496	11.267605633802816
Bin_60	1278172	52	35572	47.31427260286375	42.25352112676056	9.859154929577464
Bin_61	2944235	49	79630	57.58345703182051	78.87323943661971	25.35211267605634
Bin_62	1596	1	1596	51.253132832080205	0.0	0.0
Bin_63	2999438	77	53117	43.24059493162732	60.563380281690144	11.267605633802816
Bin_65_1	3757850	23	741822	51.02111575735617	97.1830985915493	5.633802816901408
Bin_66	50950	1	50950	40.859666339548575	0.0	0.0
Bin_67	411587	18	23660	45.92823888178367	0.0	0.0
Bin_68	305859	10	33510	61.570629631379894	0.0	0.0
Bin_69	752739	13	89236	31.20575878752185	60.563380281690144	18.309859154929576
Bin_6_2	4211161	2	4119284	35.75402171211085	100.0	5.633802816901408
Bin_6_3	2395656	11	308360	29.06242209007075	92.95774647887323	8.450704225352112
Bin_7	278956	6	79757	50.55188921597513	0.0	0.0
Bin_70	34214545	695	66486	28.54019934645466	26.31578947368421	13.157894736842104
Bin_71_1	1304843	2	895718	40.55976469793776	90.14084507042253	5.633802816901408
Bin_72_11	3218556	3	1762374	47.902754572483985	98.59154929577464	1.408450704225352
Bin_72_12	2903182	9	589519	51.57014437010441	95.77464788732394	5.633802816901408
Bin_72_13	2199987	33	118136	51.248009355228064	63.38028169014085	7.042253521126761
Bin_72_2	2937311	11	510563	50.0379765851869	90.14084507042253	12.67605633802817
Bin_72_5	2246395	19	241039	52.62405887275485	78.87323943661971	12.67605633802817
Bin_72_7	3066601	6	1742535	44.43492253464982	100.0	0.0
Bin_73	19954	2	18026	26.605843771997385	0.0	0.0
Bin_74	57366	16	5081	41.19260276933361	0.0	0.0
Bin_75	5546542	127	60519	46.654106421056525	46.478873239436616	16.901408450704224
