sample	group	r1	r2
Pleucopus-1F	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A01_IL_1F_S472_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A01_IL_1F_S472_L004_R2_001.fastq.gz
Pleucopus-2F	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A02_IL_2F_S480_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A02_IL_2F_S480_L004_R2_001.fastq.gz
Pleucopus-3F	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A03_IL_3F_S488_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A03_IL_3F_S488_L004_R2_001.fastq.gz
Pleucopus-4F	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A04_IL_4F_S496_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A04_IL_4F_S496_L004_R2_001.fastq.gz
Pleucopus-5F	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A05_IL_5F_S504_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A05_IL_5F_S504_L004_R2_001.fastq.gz
Pleucopus-1M	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A06_IL_1M_S512_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A06_IL_1M_S512_L004_R2_001.fastq.gz
Pleucopus-2M	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A07_IL_2M_S520_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A07_IL_2M_S520_L004_R2_001.fastq.gz
Pleucopus-3M	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A08_IL_3M_S528_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A08_IL_3M_S528_L004_R2_001.fastq.gz
Pleucopus-4M	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A09_IL_4M_S536_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A09_IL_4M_S536_L004_R2_001.fastq.gz
Pleucopus-5M	leucopus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A10_IL_5M_S544_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A10_IL_5M_S544_L004_R2_001.fastq.gz
Peremicus-1F	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A11_ER_1F_S552_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A11_ER_1F_S552_L004_R2_001.fastq.gz
Peremicus-2F	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A12_ER_2F_S560_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/A12_ER_2F_S560_L004_R2_001.fastq.gz
Peremicus-3F	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B01_ER_3F_S473_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B01_ER_3F_S473_L004_R2_001.fastq.gz
Peremicus-4F	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B02_ER_4F_S481_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B02_ER_4F_S481_L004_R2_001.fastq.gz
Peremicus-5F	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B03_ER_5F_S489_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B03_ER_5F_S489_L004_R2_001.fastq.gz
Peremicus-1M	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B04_ER_1M_S497_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B04_ER_1M_S497_L004_R2_001.fastq.gz
Peremicus-2M	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B05_ER_2M_S505_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B05_ER_2M_S505_L004_R2_001.fastq.gz
Peremicus-3M	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B06_ER_3M_S513_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B06_ER_3M_S513_L004_R2_001.fastq.gz
Peremicus-4M	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B07_ER_4M_S521_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B07_ER_4M_S521_L004_R2_001.fastq.gz
Peremicus-5M	eremicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B08_ER_5M_S529_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B08_ER_5M_S529_L004_R2_001.fastq.gz
Psonoriensis-3F	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B09_SM2_3F_S537_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B09_SM2_3F_S537_L004_R2_001.fastq.gz
Psonoriensis-4F	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B10_SM2_4F_S545_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B10_SM2_4F_S545_L004_R2_001.fastq.gz
Psonoriensis-5F	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B11_SM2_5F_S553_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B11_SM2_5F_S553_L004_R2_001.fastq.gz
Psonoriensis-2F	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B12_SM2_2F_S561_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/B12_SM2_2F_S561_L004_R2_001.fastq.gz
Psonoriensis-1F	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C01_SM2_1F_S474_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C01_SM2_1F_S474_L004_R2_001.fastq.gz
Psonoriensis-1M	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C02_SM2_1M_S482_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C02_SM2_1M_S482_L004_R2_001.fastq.gz
Psonoriensis-4M	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C03_SM2_4M_S490_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C03_SM2_4M_S490_L004_R2_001.fastq.gz
Psonoriensis-3M	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C04_SM2_3M_S498_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C04_SM2_3M_S498_L004_R2_001.fastq.gz
Psonoriensis-2M	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C05_SM2_2M_S506_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C05_SM2_2M_S506_L004_R2_001.fastq.gz
Psonoriensis-5M	sonoriensis	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C06_SM2_5M_S514_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C06_SM2_5M_S514_L004_R2_001.fastq.gz
Pcalifornicus-1F	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C07_IS_1F_S522_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C07_IS_1F_S522_L004_R2_001.fastq.gz
Pcalifornicus-2F	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C08_IS_2F_S530_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C08_IS_2F_S530_L004_R2_001.fastq.gz
Pcalifornicus-3F	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C09_IS_3F_S538_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C09_IS_3F_S538_L004_R2_001.fastq.gz
Pcalifornicus-4F	californicus	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C10_IS_4F_S546_L004_R1_001.fastq.gz	/workdir/lab_data/Metagenome_Sequencing/20201029_NovaSeq_Davis/Project_AMJS_20200901/C10_IS_4F_S546_L004_R2_001.fastq.gz
