bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	57832	3	44779	58.201297537364006	0.0	0.0
Bin_1	Unknown	2703195	27	124473	50.906462292338695	87.32394366197182	8.450704225352112
Bin_10	Unknown	2471989	33	119100	29.998047278734408	81.69014084507042	83.09859154929578
Bin_100	Unknown	12719664	284	60535	48.48488856066903	100.0	218.30985915492957
Bin_101	Unknown	3336	1	3336	64.89808153477217	0.0	0.0
Bin_102	Unknown	4944896	79	125708	49.32886476817491	85.91549295774648	22.535211267605632
Bin_103	Unknown	7729	1	7729	37.158752749385435	0.0	0.0
Bin_104	Unknown	1249560	43	41991	47.69882048438531	0.0	0.0
Bin_105	Unknown	1414686	45	39146	47.57876098109659	50.70422535211268	14.084507042253522
Bin_106	Unknown	955881	17	89152	54.19496986711033	29.577464788732396	5.633802816901408
Bin_107	Unknown	15339	1	15339	46.17641306473694	0.0	0.0
Bin_108	Unknown	48413397	998	73100	46.389189487716834	100.0	753.5211267605633
Bin_109	Unknown	442168	15	41399	50.66944207172619	0.0	0.0
Bin_11	Unknown	3848362	62	101192	62.91063799704111	87.32394366197182	50.70422535211268
Bin_110	Unknown	1703224	41	63315	27.633635653235512	61.971830985915496	25.35211267605634
Bin_111	Unknown	5809	1	5809	68.2561542434154	0.0	0.0
Bin_112	Unknown	778646	21	56253	49.59987038415517	0.0	0.0
Bin_113	Unknown	96710	5	31727	34.94351565170746	0.0	0.0
Bin_114	Unknown	2350300	71	77002	36.5583883466803	83.09859154929578	14.084507042253522
Bin_115	Unknown	7546897	53	342709	51.4373726812656	100.0	128.16901408450704
Bin_116	Unknown	38960	5	20405	57.636644933351334	0.0	0.0
Bin_117	Unknown	8109115	116	580698	50.52477342756714	97.1830985915493	53.521126760563384
Bin_118	Unknown	3747844	317	18845	41.815087327460496	0.0	0.0
Bin_119	Unknown	2384471	514	7967	59.874481506931296	47.88732394366197	14.084507042253522
Bin_12	Unknown	11668527	198	2353254	48.312694145473614	100.0	235.2112676056338
Bin_120	Unknown	6552950	155	71361	52.497392591967795	81.69014084507042	30.985915492957748
Bin_13	Unknown	4742326	60	158081	38.07691601648285	98.59154929577464	50.70422535211268
Bin_14	Unknown	2617	1	2617	28.58234619793657	0.0	0.0
Bin_15	Unknown	115053675	2882	64064	58.89971296236903	100.0	2443.6619718309857
Bin_16	Unknown	2697287	53	66009	44.98785219638979	30.985915492957748	4.225352112676056
Bin_17	Unknown	1228747	17	117712	46.19034306483388	0.0	0.0
Bin_18	Unknown	9383	1	9383	50.66609826281573	0.0	0.0
Bin_19	Unknown	11851	3	8259	40.97632931913719	0.0	0.0
Bin_2	Unknown	1040	1	1040	36.73076923076923	0.0	0.0
Bin_20	Unknown	113004	2	86505	35.7482899417948	0.0	0.0
Bin_21	Unknown	3674942	79	64572	49.3091698532241	71.83098591549296	23.943661971830984
Bin_22	Unknown	2652417	61	63615	54.97755148203055	29.577464788732396	4.225352112676056
Bin_23	Unknown	26785918	204	297830	53.47095621181589	100.0	833.8028169014085
Bin_24	Unknown	5959898	34	369908	35.85607928875016	97.1830985915493	97.1830985915493
Bin_25	Unknown	647811	22	40964	43.2105140852968	0.0	0.0
Bin_26	Unknown	1662057	45	41438	39.728477433658526	43.66197183098591	7.042253521126761
Bin_27	Unknown	167011	7	30515	57.62946037220381	0.0	0.0
Bin_28	Unknown	1423821	23	68129	52.18881299613294	59.15492957746479	12.67605633802817
Bin_29	Unknown	211960	10	33939	33.48305981182625	0.0	0.0
Bin_3	Unknown	2309	1	2309	44.651364226938064	0.0	0.0
Bin_30	Unknown	364130	33	34306	46.35230084251024	0.0	0.0
Bin_31	Unknown	3102235	49	106466	51.52393818237838	71.83098591549296	35.2112676056338
Bin_32	Unknown	532223	11	77277	46.69937133474525	0.0	0.0
Bin_33	Unknown	64232	23	3869	41.04119387024355	0.0	0.0
Bin_34	Unknown	827673	16	477179	27.91539439206654	87.32394366197182	0.0
Bin_35	Unknown	4514363	23	352773	47.74096101861042	95.77464788732394	14.084507042253522
Bin_36	Unknown	5202683	93	129810	48.56827197973057	90.14084507042253	42.25352112676056
Bin_37	Unknown	250926	22	15842	38.537922527547366	0.0	0.0
Bin_38	Unknown	18738467	1091	32838	58.60683581279622	100.0	207.04225352112675
Bin_39	Unknown	4268	1	4268	46.344892221180885	0.0	0.0
Bin_4	Unknown	5025755	117	56506	51.94540125745335	39.436619718309856	28.169014084507044
Bin_40	Unknown	2612896	76	51960	32.29473132402564	73.2394366197183	23.943661971830984
Bin_41	Unknown	12194996	52	920791	54.98160763660427	100.0	264.7887323943662
Bin_42	Unknown	8386276	195	81487	49.87280225524179	97.1830985915493	104.22535211267606
Bin_43	Unknown	7979954	384	61212	42.29289384601233	77.46478873239437	30.985915492957748
Bin_44	Unknown	630957	38	27538	58.38775293533899	0.0	0.0
