bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Unknown	3014056	5	2999357	46.19262777436931	91.54929577464789	1.408450704225352
MAXBIN__002	Unknown	2327782	15	2074152	38.126035983982455	97.1830985915493	4.225352112676056
MAXBIN__003	Unknown	1955800	36	133304	37.30641710053838	60.563380281690144	15.492957746478874
MAXBIN__004	Unknown	2871584	24	1455159	48.81778882844115	98.59154929577464	1.408450704225352
MAXBIN__005	Unknown	795034	7	672145	29.41957548596688	87.32394366197182	0.0
MAXBIN__006	Unknown	3260669	21	328063	41.77484147058526	94.36619718309859	19.718309859154928
MAXBIN__007	Unknown	4291492	17	2754728	41.2330240702615	100.0	9.859154929577464
MAXBIN__008	Unknown	687891	4	679126	27.975811420431928	87.32394366197182	0.0
MAXBIN__009	Unknown	3042945	8	641735	55.48990454945499	98.59154929577464	1.408450704225352
MAXBIN__010	Unknown	3773623	11	2281779	48.19929232154602	100.0	2.816901408450704
MAXBIN__011	Unknown	4727725	22	4518827	34.16662325879704	97.1830985915493	4.225352112676056
MAXBIN__012	Unknown	1239508	50	41864	31.862633264067576	0.0	0.0
MAXBIN__013	Unknown	1941592	3	1891533	35.62843847363087	94.36619718309859	1.408450704225352
MAXBIN__014	Unknown	3920427	9	3538877	46.50376314585538	100.0	11.267605633802816
MAXBIN__015	Unknown	1810578	36	1327921	44.893247602845506	90.14084507042253	5.633802816901408
MAXBIN__016	Unknown	4707605	33	2386035	48.332577382301494	100.0	11.267605633802816
MAXBIN__017	Unknown	1062645	56	28467	41.74466298451126	0.0	0.0
MAXBIN__018	Unknown	3259060	13	726061	51.70427160150519	94.36619718309859	21.12676056338028
MAXBIN__019	Unknown	1872273	12	227209	54.47023342289932	64.78873239436619	5.633802816901408
MAXBIN__020	Unknown	3691273	64	2085074	53.210878440741595	91.54929577464789	19.718309859154928
MAXBIN__021	Unknown	2416734	8	569537	58.208674921157176	84.50704225352112	2.816901408450704
MAXBIN__022	Unknown	1899738	27	165245	44.1419398273443	91.54929577464789	15.492957746478874
MAXBIN__023	Unknown	649961	21	69963	60.217175560439074	43.66197183098591	0.0
MAXBIN__024	Unknown	3308002	3	1209375	56.487345111790965	88.73239436619718	54.929577464788736
MAXBIN__025	Unknown	1420423	17	144717	40.43153585671547	92.95774647887323	2.816901408450704
MAXBIN__026	Unknown	5111351	71	167797	47.400219551186545	78.87323943661971	11.267605633802816
MAXBIN__027	Unknown	1735559	54	84218	58.67669447028609	46.478873239436616	1.408450704225352
MAXBIN__028	Unknown	2388778	6	2008538	55.752837392258236	92.95774647887323	2.816901408450704
MAXBIN__029	Unknown	3020539	17	713954	42.64196440714524	88.73239436619718	43.66197183098591
MAXBIN__030	Unknown	704824	12	117216	53.07176426543241	0.0	0.0
MAXBIN__031	Unknown	1967605	26	102414	51.22347611204175	61.971830985915496	8.450704225352112
MAXBIN__032	Unknown	1461131	8	859044	58.563656646367	57.74647887323944	1.408450704225352
MAXBIN__033	Unknown	2743457	36	115456	40.87046149106138	95.77464788732394	39.436619718309856
MAXBIN__034	Unknown	1884904	23	293385	54.18378491486908	84.50704225352112	11.267605633802816
MAXBIN__035	Unknown	2262945	79	49078	63.17940958104729	73.2394366197183	61.971830985915496
