bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	57832	3	44779	58.201297537364006	0.0	0.0
Bin_1	Unknown	2703195	27	124473	50.906462292338695	87.32394366197182	8.450704225352112
Bin_10	Unknown	2471989	33	119100	29.998047278734415	81.69014084507042	83.09859154929578
Bin_100	Unknown	12719664	284	60535	48.48488856066901	100.0	218.30985915492957
Bin_101	Unknown	3336	1	3336	64.89808153477217	0.0	0.0
Bin_102_1	Unknown	3966588	61	117717	49.699439121287625	83.09859154929578	15.492957746478874
Bin_103	Unknown	7729	1	7729	37.158752749385435	0.0	0.0
Bin_104	Unknown	1249560	43	41991	47.69882048438531	0.0	0.0
Bin_105	Unknown	1414686	45	39146	47.57876098109659	50.70422535211268	14.084507042253522
Bin_106	Unknown	955881	17	89152	54.19496986711032	29.577464788732396	5.633802816901408
Bin_107	Unknown	15339	1	15339	46.17641306473694	0.0	0.0
Bin_108	Unknown	48413397	998	73100	46.38918948771683	100.0	753.5211267605633
Bin_109	Unknown	442168	15	41399	50.669442071726166	0.0	0.0
Bin_11	Unknown	3848362	62	101192	62.91063799704111	87.32394366197182	50.70422535211268
Bin_110	Unknown	1703224	41	63315	27.633635653235505	61.971830985915496	25.35211267605634
Bin_111	Unknown	5809	1	5809	68.2561542434154	0.0	0.0
Bin_112	Unknown	778646	21	56253	49.59987038415515	0.0	0.0
Bin_113	Unknown	96710	5	31727	34.94351565170746	0.0	0.0
Bin_114	Unknown	2350300	71	77002	36.5583883466803	83.09859154929578	14.084507042253522
Bin_115_1	Unknown	2770530	19	182524	50.90171369600854	95.77464788732394	9.859154929577464
Bin_115_2	Unknown	3348643	9	731806	52.18207184951825	98.59154929577464	1.408450704225352
Bin_116	Unknown	38960	5	20405	57.636644933351334	0.0	0.0
Bin_117_2	Unknown	4757445	14	697055	51.01147202930173	84.50704225352112	4.225352112676056
Bin_118	Unknown	3747844	317	18845	41.81508732746048	0.0	0.0
Bin_119	Unknown	2384471	514	7967	59.87448150693131	47.88732394366197	14.084507042253522
Bin_120_4	Unknown	2338668	39	77315	55.243504304710186	76.05633802816901	14.084507042253522
Bin_12_1	Unknown	3564491	9	3498873	47.42134416797581	92.95774647887323	0.0
Bin_12_2	Unknown	2414151	2	2353254	50.749490825760645	95.77464788732394	1.408450704225352
Bin_13_2	Unknown	4015810	49	158081	36.578467641479946	92.95774647887323	9.859154929577464
Bin_14	Unknown	2617	1	2617	28.58234619793657	0.0	0.0
Bin_15	Unknown	115053675	2882	64064	58.89971296236903	100.0	2443.6619718309857
Bin_16	Unknown	2697287	53	66009	44.98785219638978	30.985915492957748	4.225352112676056
Bin_17	Unknown	1228747	17	117712	46.190343064833876	0.0	0.0
Bin_18	Unknown	9383	1	9383	50.66609826281573	0.0	0.0
Bin_19	Unknown	11851	3	8259	40.9763293191372	0.0	0.0
Bin_2	Unknown	1040	1	1040	36.73076923076923	0.0	0.0
Bin_20	Unknown	113004	2	86505	35.7482899417948	0.0	0.0
Bin_21	Unknown	3674942	79	64572	49.3091698532241	71.83098591549296	23.943661971830984
Bin_22	Unknown	2652417	61	63615	54.97755148203055	29.577464788732396	4.225352112676056
Bin_23_1	Unknown	2869953	1	2869953	50.2337306789832	95.77464788732394	1.408450704225352
Bin_23_10	Unknown	2522709	9	385269	52.0655567796187	91.54929577464789	4.225352112676056
Bin_23_4	Unknown	2820486	10	450067	53.014858916956506	95.77464788732394	11.267605633802816
Bin_23_5	Unknown	1954488	30	95737	53.27566527222923	71.83098591549296	8.450704225352112
Bin_23_7	Unknown	1794577	8	239629	54.042493839462644	69.01408450704226	1.408450704225352
Bin_23_8	Unknown	3089693	4	1847671	53.791309873157154	95.77464788732394	7.042253521126761
Bin_23_9	Unknown	1990943	6	494195	53.568791284062364	74.64788732394366	8.450704225352112
Bin_24_1	Unknown	1848980	3	1787480	35.579082797332376	91.54929577464789	1.408450704225352
Bin_24_2	Unknown	4110918	31	227002	35.98543805631583	95.77464788732394	5.633802816901408
Bin_25	Unknown	647811	22	40964	43.2105140852968	0.0	0.0
Bin_26	Unknown	1662057	45	41438	39.728477433658526	43.66197183098591	7.042253521126761
Bin_27	Unknown	167011	7	30515	57.62946037220381	0.0	0.0
Bin_28	Unknown	1423821	23	68129	52.18881299613294	59.15492957746479	12.67605633802817
Bin_29	Unknown	211960	10	33939	33.48305981182626	0.0	0.0
Bin_3	Unknown	2309	1	2309	44.651364226938064	0.0	0.0
Bin_30	Unknown	364130	33	34306	46.35230084251024	0.0	0.0
Bin_31	Unknown	3102235	49	106466	51.52393818237837	71.83098591549296	35.2112676056338
Bin_32	Unknown	532223	11	77277	46.699371334745244	0.0	0.0
Bin_33	Unknown	64232	23	3869	41.04119387024355	0.0	0.0
Bin_34	Unknown	827673	16	477179	27.915394392066535	87.32394366197182	0.0
