bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	2998108	13	2362402	28.69712270352982	90.14084507042253	7.042253521126761
Bin_1	Unknown	14041366	145	4302039	42.81387160835495	100.0	161.9718309859155
Bin_10	Unknown	3058420	43	115869	50.11963499236973	63.38028169014085	12.67605633802817
Bin_100	Unknown	230728	3	66629	43.718494155663734	0.0	0.0
Bin_101	Unknown	5177378	12	1172627	45.60572817071246	91.54929577464789	7.042253521126761
Bin_102	Unknown	3381838	62	88252	47.15475907681535	83.09859154929578	47.88732394366197
Bin_11	Unknown	308803	2	283807	60.07349361024208	0.0	0.0
Bin_12	Unknown	28158	1	28158	42.89012003693444	0.0	0.0
Bin_13	Unknown	17866	3	10998	45.55719151230017	0.0	0.0
Bin_14	Unknown	9465474	62	1171544	49.570530168605856	100.0	201.40845070422534
Bin_15	Unknown	87100	3	32181	31.19522160654415	0.0	0.0
Bin_16	Unknown	2631577	2	2443065	45.73175157346357	98.59154929577464	1.408450704225352
Bin_17	Unknown	24873	4	8106	35.83807143845388	0.0	0.0
Bin_18	Unknown	3764741	16	3024966	39.909442537946376	98.59154929577464	0.0
Bin_19	Unknown	162521	5	103706	40.732458113850086	0.0	0.0
Bin_2	Unknown	5645385	78	989264	44.26731409563301	97.1830985915493	49.29577464788732
Bin_20	Unknown	109584	3	43677	51.1509358625025	0.0	0.0
Bin_21	Unknown	2936701	35	236929	47.75137397768503	78.87323943661971	104.22535211267606
Bin_22	Unknown	5541194	131	66166	28.92404312260879	77.46478873239437	122.53521126760563
Bin_23	Unknown	3104482	13	827706	41.98885804744087	92.95774647887323	15.492957746478874
Bin_24	Unknown	1646986	29	72791	26.051030907840563	36.61971830985915	21.12676056338028
Bin_25	Unknown	3225	1	3225	58.325581395348834	0.0	0.0
Bin_26	Unknown	74434	1	74434	41.857536284520314	0.0	0.0
Bin_27	Unknown	64620912	1667	58834	58.63104288012253	100.0	1454.9295774647887
Bin_28	Unknown	680457	14	78643	57.13319063687919	0.0	0.0
Bin_29	Unknown	112063	2	58926	47.575503138155135	0.0	0.0
