bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	2125501	33	151701	25.584439613737775	88.73239436619718	23.943661971830984
Bin_1	Unknown	5558	1	5558	54.33609211946744	0.0	0.0
Bin_10	Unknown	5555140	86	488394	52.84566597622607	100.0	47.88732394366197
Bin_100	Unknown	242117	18	37576	51.44055372124324	0.0	0.0
Bin_101	Unknown	5517547	82	101013	27.612317412879538	87.32394366197182	253.5211267605634
Bin_102	Unknown	2010390	33	97546	50.932154961280304	70.4225352112676	15.492957746478874
Bin_103	Unknown	28361	3	15089	46.78344455075933	0.0	0.0
Bin_104	Unknown	15269420	580	43288	50.88139587314664	100.0	184.50704225352112
Bin_105	Unknown	3401950	51	340481	32.62837832704684	97.1830985915493	14.084507042253522
Bin_106	Unknown	3519788	55	86236	44.402980706124815	59.15492957746479	11.267605633802816
Bin_107	Unknown	8937	1	8937	27.089627391742194	0.0	0.0
Bin_108	Unknown	1916084	44	61482	45.11268232094816	63.38028169014085	22.535211267605632
Bin_109	Unknown	545016	14	45215	50.35882674150321	0.0	0.0
Bin_11	Unknown	5943766	75	218565	43.367239237846064	95.77464788732394	74.64788732394366
Bin_110	Unknown	4840314	86	73910	47.26402862271516	66.19718309859155	9.859154929577464
Bin_111	Unknown	1737303	60	33670	42.115704841323364	73.2394366197183	18.309859154929576
Bin_112	Unknown	3729102	7	1078132	47.00042509312553	100.0	4.225352112676056
Bin_113	Unknown	86108	2	80878	39.951480347713336	0.0	0.0
Bin_114	Unknown	4186204	50	279513	41.751003362250394	91.54929577464789	59.15492957746479
Bin_115	Unknown	2932919	60	82411	50.3413557844139	64.78873239436619	7.042253521126761
Bin_116	Unknown	49484	4	40962	52.75742745812825	0.0	0.0
Bin_117	Unknown	17868	2	9039	23.524212311079822	0.0	0.0
Bin_118	Unknown	2389446	393	13806	58.1337601871317	40.84507042253521	21.12676056338028
Bin_119	Unknown	375809	7	308790	47.17909351222846	0.0	0.0
Bin_12	Unknown	7860	2	6384	46.47632801515985	0.0	0.0
Bin_13	Unknown	1267994	24	64333	32.30105020275306	53.521126760563384	29.577464788732396
Bin_14	Unknown	6010300	314	129838	46.89454507642325	100.0	11.267605633802816
Bin_15	Unknown	106384	4	38820	35.05079436787846	0.0	0.0
Bin_16	Unknown	2291087	50	53029	46.75728798374156	36.61971830985915	15.492957746478874
Bin_17	Unknown	14742500	946	28130	59.20963477626727	98.59154929577464	361.9718309859155
Bin_18	Unknown	1329142	28	56968	56.84157036587858	36.61971830985915	7.042253521126761
Bin_19	Unknown	760168	21	37887	54.439717423777964	0.0	0.0
Bin_2	Unknown	48598	5	13182	36.31098354829987	0.0	0.0
Bin_20	Unknown	2491	1	2491	46.84865515857086	0.0	0.0
Bin_21	Unknown	115333	6	26858	40.57139653978395	0.0	0.0
Bin_22	Unknown	36895	5	10574	46.557676603135896	0.0	0.0
Bin_23	Unknown	18283831	178	257441	54.008501822736655	100.0	504.22535211267603
Bin_24	Unknown	770629	122	10538	29.77259784243888	0.0	0.0
Bin_25	Unknown	313086	7	64153	60.460402386126056	0.0	0.0
Bin_26	Unknown	59225	8	13153	41.521638771049695	0.0	0.0
