bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Unknown	4780277	14	4286836	45.16518793319009	100.0	1.408450704225352
MAXBIN__002	Unknown	2854488	10	2813568	47.25911348403738	92.95774647887323	19.718309859154928
MAXBIN__003	Unknown	6002601	11	3612013	44.54308106489027	95.77464788732394	4.225352112676056
MAXBIN__004	Unknown	2067529	3	2046935	43.80901596627323	64.78873239436619	0.0
MAXBIN__005	Unknown	4410038	35	3451042	38.47309109268405	100.0	1.408450704225352
MAXBIN__006	Unknown	3445230	8	3308488	47.41072313907952	100.0	4.225352112676056
MAXBIN__007	Unknown	1815330	39	1304578	28.764211427069863	87.32394366197182	90.14084507042253
MAXBIN__008	Unknown	2231085	16	2110572	38.04052614422547	97.1830985915493	7.042253521126761
MAXBIN__009	Unknown	4179517	7	1243986	49.35601188496864	95.77464788732394	4.225352112676056
MAXBIN__010	Unknown	2496761	44	157207	43.689844949529466	95.77464788732394	8.450704225352112
MAXBIN__011	Unknown	3472772	52	1947142	40.70781176760697	94.36619718309859	2.816901408450704
MAXBIN__012	Unknown	5223155	145	96342	53.06791490319086	100.0	12.67605633802817
MAXBIN__013	Unknown	583259	30	44015	60.946744637343876	0.0	0.0
MAXBIN__014	Unknown	6025622	101	189781	48.1649543595597	95.77464788732394	21.12676056338028
MAXBIN__015	Unknown	224830	9	33797	61.878835277490516	0.0	0.0
MAXBIN__016	Unknown	116562	7	35901	60.39867725796936	36.61971830985915	15.492957746478874
MAXBIN__017	Unknown	142756	6	31019	60.81273509785111	33.80281690140845	0.0
MAXBIN__018	Unknown	610059	24	39899	61.1059263283634	0.0	0.0
MAXBIN__019	Unknown	4758014	48	4119284	35.713734051619696	100.0	5.633802816901408
MAXBIN__020	Unknown	1324599	74	27262	62.38694826756477	38.028169014084504	11.267605633802816
MAXBIN__021	Unknown	3576254	30	539038	44.14819907259287	100.0	0.0
MAXBIN__022	Unknown	1393840	4	1326268	45.52377059719023	90.14084507042253	7.042253521126761
MAXBIN__023	Unknown	3379298	35	3117438	40.52084098598899	98.59154929577464	5.633802816901408
MAXBIN__024	Unknown	3429476	12	1762374	47.88825221367702	98.59154929577464	1.408450704225352
MAXBIN__025	Unknown	1339401	6	1260517	51.090959147933916	94.36619718309859	5.633802816901408
MAXBIN__026	Unknown	1602185	7	1265313	45.590979465652225	91.54929577464789	0.0
MAXBIN__027	Unknown	2591723	21	308360	29.910310992458633	92.95774647887323	14.084507042253522
MAXBIN__028	Unknown	10153976	401	50475	30.17707558308939	0.0	0.0
MAXBIN__029	Unknown	3066222	134	44516	57.14333811185001	49.29577464788732	7.042253521126761
MAXBIN__030	Unknown	2787556	36	162748	57.536949537087715	60.563380281690144	16.901408450704224
MAXBIN__031	Unknown	2643584	87	54867	45.81398857317989	67.6056338028169	30.985915492957748
MAXBIN__032	Unknown	2851336	46	2233823	28.075084293801194	90.14084507042253	16.901408450704224
MAXBIN__033	Unknown	2876455	22	1439830	33.711812007678866	97.1830985915493	11.267605633802816
MAXBIN__034	Unknown	1556887	12	895718	40.1498803567006	90.14084507042253	5.633802816901408
MAXBIN__035	Unknown	4582852	37	3411376	43.55453465633234	97.1830985915493	16.901408450704224
MAXBIN__036	Unknown	4450101	144	56296	51.72289689220787	52.11267605633803	45.070422535211264
MAXBIN__037	Unknown	3628664	200	38572	36.989268586668565	0.0	0.0
MAXBIN__038	Unknown	1285212	14	236329	48.57327108567115	76.05633802816901	28.169014084507044
MAXBIN__039	Unknown	948788	20	758266	31.544001314424275	80.28169014084507	5.633802816901408
MAXBIN__040	Unknown	2326487	40	157400	40.01610707226604	94.36619718309859	22.535211267605632
MAXBIN__041	Unknown	5494829	540	14877	65.38351269013806	64.78873239436619	114.08450704225352
MAXBIN__042	Unknown	208686	8	31636	44.86246850151908	0.0	0.0
MAXBIN__043	Unknown	285384	32	12327	50.133970616703664	0.0	0.0
MAXBIN__044	Unknown	3458246	50	171358	47.02778461764266	40.84507042253521	12.67605633802817
MAXBIN__045	Unknown	757383	21	75579	47.16055044746367	0.0	0.0
MAXBIN__046	Unknown	4985100	109	114335	25.654859574503053	95.77464788732394	129.57746478873239
MAXBIN__047	Unknown	349329	25	25746	61.94919458986982	0.0	0.0
MAXBIN__048	Unknown	2647018	42	132103	60.032754322536384	83.09859154929578	9.859154929577464
MAXBIN__049	Unknown	1081582	9	619673	47.08066962845446	74.64788732394366	16.901408450704224
MAXBIN__050	Unknown	4395122	44	741822	51.52248377498353	94.36619718309859	42.25352112676056
MAXBIN__051	Unknown	2429737	39	115739	30.82119619575434	78.87323943661971	12.67605633802817
MAXBIN__052	Unknown	533437	27	28361	51.367202049678774	0.0	0.0
MAXBIN__053	Unknown	4473699	70	78487	40.83712140031738	38.028169014084504	14.084507042253522
MAXBIN__054	Unknown	4441950	61	104077	48.97195399669237	83.09859154929578	77.46478873239437
MAXBIN__055	Unknown	4777536	147	51297	55.5774644126789	83.09859154929578	26.760563380281692
MAXBIN__056	Unknown	2653994	93	57358	42.81716259138072	0.0	0.0
MAXBIN__057	Unknown	2074001	105	30696	58.36262710512457	30.985915492957748	14.084507042253522
MAXBIN__058	Unknown	2056855	4	1199160	52.25254713512014	66.19718309859155	16.901408450704224
MAXBIN__059	Unknown	3778665	60	92192	54.61959943083221	84.50704225352112	49.29577464788732
MAXBIN__060	Unknown	2234071	64	62069	50.35141982954371	26.760563380281692	9.859154929577464
MAXBIN__061	Unknown	2645882	61	55705	51.18691302433175	80.28169014084507	14.084507042253522
MAXBIN__062	Unknown	3434740	102	55727	50.57522231717729	66.19718309859155	54.929577464788736
MAXBIN__063	Unknown	6239184	214	54205	33.83043558491245	74.64788732394366	118.30985915492958
MAXBIN__064	Unknown	1979989	79	43015	31.322076765706026	71.83098591549296	49.29577464788732
MAXBIN__065	Unknown	7681463	357	32202	37.66004426573938	67.6056338028169	29.577464788732396
MAXBIN__066	Unknown	5734888	213	36445	52.40658947344441	78.87323943661971	61.971830985915496
MAXBIN__067	Unknown	14390927	397	74354	33.39189071959135	7.228915662650603	3.6144578313253013
MAXBIN__068	Unknown	3321696	79	59810	59.543552816987685	80.28169014084507	18.309859154929576
MAXBIN__069	Unknown	3409902	71	378073	39.583449697237114	94.36619718309859	102.8169014084507
MAXBIN__070	Unknown	3134038	67	95495	36.315838478285755	76.05633802816901	35.2112676056338
MAXBIN__071	Unknown	546599	28	30162	43.65351677789842	0.0	0.0
MAXBIN__072	Unknown	3827935	33	657806	49.875459692103284	92.95774647887323	33.80281690140845
MAXBIN__073	Unknown	2142766	32	108561	51.48717584643826	61.971830985915496	7.042253521126761
MAXBIN__074	Unknown	1520717	86	24478	41.25311760287836	25.35211267605634	15.492957746478874
MAXBIN__075	Unknown	17927012	783	40320	24.29560712245812	0.0	0.0
MAXBIN__076	Unknown	3085253	63	76085	54.616555630178055	74.64788732394366	77.46478873239437
MAXBIN__077	Unknown	1497945	40	55382	29.838495711407965	57.74647887323944	49.29577464788732
MAXBIN__078	Unknown	11005538	412	50015	29.744811470136533	0.0	0.0
MAXBIN__079	Unknown	4849209	209	30560	51.146984900144474	33.80281690140845	42.25352112676056
MAXBIN__080	Unknown	5185390	122	60788	57.63662679380322	43.66197183098591	66.19718309859155
