bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Unknown	1955276	17	1015865	38.80518177379758	78.87323943661971	4.225352112676056
MAXBIN__002	Unknown	1841247	1	1841247	33.42985204434251	97.1830985915493	0.0
MAXBIN__003	Unknown	2143266	7	2044344	34.51122678720024	94.36619718309859	1.408450704225352
MAXBIN__004	Unknown	3154137	23	348530	39.50833711740041	98.59154929577464	26.760563380281692
MAXBIN__005	Unknown	1245778	16	703148	30.320734278938854	87.32394366197182	0.0
MAXBIN__006	Unknown	2806166	72	82740	39.731251182159426	80.28169014084507	35.2112676056338
MAXBIN__007	Unknown	3751452	73	107335	42.56501238063766	49.29577464788732	18.309859154929576
MAXBIN__008	Unknown	2920626	100	43836	30.896730860858618	0.0	0.0
MAXBIN__009	Unknown	793148	10	213178	54.25053386882338	21.12676056338028	2.816901408450704
MAXBIN__010	Unknown	3582175	19	3094815	41.843044433006646	100.0	8.450704225352112
MAXBIN__011	Unknown	3085771	25	440637	44.41759476225361	66.19718309859155	11.267605633802816
MAXBIN__012	Unknown	3046969	3	1619853	51.765961671953	83.09859154929578	2.816901408450704
MAXBIN__013	Unknown	2452675	18	351067	50.06927550910647	74.64788732394366	32.394366197183096
MAXBIN__014	Unknown	2274318	123	34562	39.95442046517682	0.0	0.0
MAXBIN__015	Unknown	5371452	56	150093	45.0412997804708	80.28169014084507	53.521126760563384
MAXBIN__016	Unknown	2742779	7	590828	56.80874672959069	95.77464788732394	7.042253521126761
MAXBIN__017	Unknown	6605407	173	60587	25.665165660228606	0.0	0.0
MAXBIN__018	Unknown	3075523	39	133954	47.356343181631516	90.14084507042253	35.2112676056338
MAXBIN__019	Unknown	4672388	20	968130	47.534412893139354	87.32394366197182	7.042253521126761
MAXBIN__020	Unknown	2408634	9	546766	53.65198837550188	64.78873239436619	15.492957746478874
MAXBIN__021	Unknown	2561399	10	664768	50.8981274826715	56.33802816901409	12.67605633802817
MAXBIN__022	Unknown	1026208	25	77311	45.70620383176382	21.12676056338028	1.408450704225352
MAXBIN__023	Unknown	3853783	24	587343	55.05188854766844	90.14084507042253	66.19718309859155
MAXBIN__024	Unknown	3304613	109	61594	44.32063785463789	0.0	0.0
MAXBIN__025	Unknown	4445916	89	138209	41.59526512584853	61.971830985915496	19.718309859154928
MAXBIN__026	Unknown	4349275	87	244027	53.27203727313313	98.59154929577464	16.901408450704224
MAXBIN__027	Unknown	8635075	147	81414	28.788936506546648	77.46478873239437	30.985915492957748
MAXBIN__028	Unknown	2447188	184	20254	43.75875292817099	0.0	0.0
MAXBIN__029	Unknown	2687327	12	525228	57.963671189270826	91.54929577464789	0.0
MAXBIN__030	Unknown	3497241	33	241423	30.27474680437261	40.84507042253521	23.943661971830984
MAXBIN__031	Unknown	146230	4	95303	43.0535114050364	0.0	0.0
MAXBIN__032	Unknown	2782071	141	26586	64.28014873374775	80.28169014084507	98.59154929577464
MAXBIN__033	Unknown	3975519	24	2079582	41.90621313424173	97.1830985915493	8.450704225352112
MAXBIN__034	Unknown	3693876	55	176909	36.431923230961345	84.50704225352112	33.80281690140845
MAXBIN__035	Unknown	1725389	23	148163	51.07782869839471	52.11267605633803	8.450704225352112
MAXBIN__036	Unknown	1388213	4	1124411	55.80241824940108	60.563380281690144	7.042253521126761
MAXBIN__037	Unknown	3008831	19	539985	60.047648075510864	91.54929577464789	14.084507042253522
MAXBIN__038	Unknown	6799262	43	615043	50.521575063911506	98.59154929577464	87.32394366197182
MAXBIN__039	Unknown	927923	8	242960	27.638188756922595	61.971830985915496	7.042253521126761
MAXBIN__040	Unknown	510217	10	283390	60.37608647445498	0.0	0.0
MAXBIN__041	Unknown	1865205	9	338801	57.33570837364442	83.09859154929578	1.408450704225352
MAXBIN__042	Unknown	2231496	49	67839	45.084768393492006	30.985915492957748	9.859154929577464
MAXBIN__043	Unknown	1583629	58	70333	51.976200206552505	0.0	0.0
MAXBIN__044	Unknown	4419149	75	76213	32.09240442909559	80.28169014084507	35.2112676056338
MAXBIN__045	Unknown	1216519	12	187603	51.880834401443835	53.521126760563384	7.042253521126761
MAXBIN__046	Unknown	3731439	20	338453	34.8950017799221	95.77464788732394	101.40845070422536
MAXBIN__047	Unknown	3075434	131	72349	39.10996052441648	0.0	0.0
MAXBIN__048	Unknown	2485253	49	121432	46.4194709519003	59.15492957746479	12.67605633802817
MAXBIN__049	Unknown	1372604	38	76675	54.20403363512454	52.11267605633803	7.042253521126761
MAXBIN__050	Unknown	5048293	41	753167	41.50098360708995	97.1830985915493	74.64788732394366
MAXBIN__051	Unknown	395417	5	148691	48.570298133191976	0.0	0.0
MAXBIN__052	Unknown	5203428	91	112121	56.05099978422158	90.14084507042253	39.436619718309856
MAXBIN__053	Unknown	4097000	246	33675	65.37121742325088	45.070422535211264	76.05633802816901
MAXBIN__054	Unknown	654698	3	615028	43.94406847281549	0.0	0.0
MAXBIN__055	Unknown	2615084	63	83089	26.28719624022104	38.028169014084504	26.760563380281692
MAXBIN__056	Unknown	3828848	83	71452	61.923530363399806	61.971830985915496	26.760563380281692
MAXBIN__057	Unknown	1280019	18	961232	39.300388072099665	64.78873239436619	8.450704225352112
MAXBIN__058	Unknown	2398218	13	2178141	57.224212142592215	94.36619718309859	0.0
MAXBIN__059	Unknown	1816457	25	106509	41.64405129918575	0.0	0.0
MAXBIN__060	Unknown	2297609	14	409529	61.901066490147436	76.05633802816901	9.859154929577464
MAXBIN__061	Unknown	2716967	109	61768	42.40715151331293	0.0	0.0
MAXBIN__062	Unknown	2549110	16	1389994	28.981821250553136	88.73239436619718	12.67605633802817
MAXBIN__063	Unknown	2431322	14	1965227	28.095410097575286	87.32394366197182	66.19718309859155
MAXBIN__064	Unknown	4408883	7	4334377	35.98613121360966	100.0	2.816901408450704
MAXBIN__065	Unknown	4143581	6	1134286	36.300294701284855	95.77464788732394	16.901408450704224
MAXBIN__066	Unknown	2233504	29	87966	45.60382972950729	59.15492957746479	19.718309859154928
MAXBIN__067	Unknown	2526683	26	211849	35.11732291511752	81.69014084507042	45.070422535211264
MAXBIN__068	Unknown	4429580	63	185564	52.22083160372514	88.73239436619718	21.12676056338028
MAXBIN__069	Unknown	8171249	162	102868	33.69931176740204	95.77464788732394	164.7887323943662
MAXBIN__070	Unknown	2853228	6	1527057	51.33811075645581	98.59154929577464	2.816901408450704
MAXBIN__071	Unknown	5989673	60	244087	46.9679009449314	88.73239436619718	87.32394366197182
MAXBIN__072	Unknown	2323351	44	71220	30.279438534928648	36.61971830985915	21.12676056338028
MAXBIN__073	Unknown	3827777	22	440840	46.00412941923048	80.28169014084507	36.61971830985915
MAXBIN__074	Unknown	1421585	86	37998	36.53493583650519	0.0	0.0
MAXBIN__075	Unknown	5590151	61	179205	31.273787452339903	33.80281690140845	14.084507042253522
MAXBIN__076	Unknown	3928911	31	222426	48.64264494611296	42.25352112676056	23.943661971830984
MAXBIN__077	Unknown	3091839	34	205962	48.624729788496104	0.0	0.0
MAXBIN__078	Unknown	1949650	30	95176	32.70893045461644	76.05633802816901	26.760563380281692
MAXBIN__079	Unknown	4883389	39	178689	57.25565316954297	84.50704225352112	66.19718309859155
MAXBIN__080	Unknown	7550534	71	314489	44.16013481379877	98.59154929577464	159.1549295774648
MAXBIN__081	Unknown	2070405	14	1249476	53.34492912098989	91.54929577464789	15.492957746478874
MAXBIN__082	Unknown	1786242	25	77281	34.415164356437074	54.929577464788736	18.309859154929576
MAXBIN__083	Unknown	3572093	38	145960	39.841186157193064	78.87323943661971	25.35211267605634
MAXBIN__084	Unknown	3910777	65	73367	49.29735213524838	84.50704225352112	77.46478873239437
MAXBIN__085	Unknown	6394408	92	94765	46.37386178736339	91.54929577464789	167.6056338028169
