bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Unknown	2496093	24	2139377	39.1277133210613	98.59154929577464	7.042253521126761
MAXBIN__002	Unknown	4667512	107	281549	45.26941842350129	92.95774647887323	28.169014084507044
MAXBIN__003	Unknown	1756907	81	50529	54.09086329154709	0.0	0.0
MAXBIN__004	Unknown	4172789	23	1016458	50.23359581486957	90.14084507042253	15.492957746478874
MAXBIN__005	Unknown	484381	26	36696	62.51905410031648	47.88732394366197	43.66197183098591
MAXBIN__006	Unknown	965946	29	79130	61.58521390711634	42.25352112676056	1.408450704225352
MAXBIN__007	Unknown	2351398	99	40808	62.59854150980957	73.2394366197183	59.15492957746479
MAXBIN__008	Unknown	2461056	14	593302	34.0670200131403	97.1830985915493	5.633802816901408
MAXBIN__009	Unknown	3328566	80	75525	58.00125878467488	26.760563380281692	2.816901408450704
MAXBIN__010	Unknown	7098071	176	71222	52.388024728407366	100.0	26.760563380281692
MAXBIN__011	Unknown	3272446	269	19614	42.14083058592877	0.0	0.0
MAXBIN__012	Unknown	2838050	4	1189703	51.28898776420927	94.36619718309859	1.408450704225352
MAXBIN__013	Unknown	1978529	11	366423	33.56628727674249	66.19718309859155	1.408450704225352
MAXBIN__014	Unknown	4492905	148	61237	43.08807651214678	30.985915492957748	7.042253521126761
MAXBIN__015	Unknown	3203237	5	3159758	54.093769256136405	97.1830985915493	15.492957746478874
MAXBIN__016	Unknown	3917121	36	1367078	47.899353590669676	54.929577464788736	28.169014084507044
MAXBIN__017	Unknown	1225724	35	45173	48.25155348243118	0.0	0.0
MAXBIN__018	Unknown	213073	21	18290	55.288747948766655	0.0	0.0
MAXBIN__019	Unknown	167244	8	39675	49.22539608809162	0.0	0.0
MAXBIN__020	Unknown	2212642	26	149678	60.23061842793997	74.64788732394366	7.042253521126761
MAXBIN__021	Unknown	2454887	4	2340485	56.232594677417204	87.32394366197182	0.0
MAXBIN__022	Unknown	2634079	25	124473	51.11010686449151	87.32394366197182	8.450704225352112
MAXBIN__023	Unknown	3927453	113	59955	52.08262283623858	71.83098591549296	23.943661971830984
MAXBIN__024	Unknown	1267136	23	68697	57.77835260462527	25.35211267605634	4.225352112676056
MAXBIN__025	Unknown	2934396	84	82944	30.859377154950568	87.32394366197182	2.816901408450704
MAXBIN__026	Unknown	2890984	51	140589	44.465516960736146	80.28169014084507	9.859154929577464
MAXBIN__027	Unknown	5725064	65	580698	51.4157288026269	87.32394366197182	50.70422535211268
MAXBIN__028	Unknown	6068569	202	179811	37.691426962809025	66.19718309859155	15.492957746478874
MAXBIN__029	Unknown	5290533	453	18988	65.337026343753	61.971830985915496	123.94366197183099
MAXBIN__030	Unknown	2915014	160	31992	51.034280301442244	0.0	0.0
MAXBIN__031	Unknown	2533382	80	48579	32.28654888550678	73.2394366197183	22.535211267605632
MAXBIN__032	Unknown	2194477	25	149210	41.01082104247705	87.32394366197182	1.408450704225352
MAXBIN__033	Unknown	2666010	176	37379	39.87687089257286	0.0	0.0
MAXBIN__034	Unknown	1944639	39	146791	55.70138347593689	28.169014084507044	4.225352112676056
MAXBIN__035	Unknown	4430552	132	46353	51.73052691495472	47.88732394366197	43.66197183098591
MAXBIN__036	Unknown	1491765	23	75717	47.551849309736696	53.521126760563384	32.394366197183096
MAXBIN__037	Unknown	2678862	97	51843	45.16839971416437	69.01408450704226	18.309859154929576
MAXBIN__038	Unknown	1383704	8	238274	52.4289648367704	36.61971830985915	4.225352112676056
MAXBIN__039	Unknown	486802	10	85516	49.76063940657422	0.0	0.0
MAXBIN__040	Unknown	4717631	147	54455	51.485550168113434	88.73239436619718	67.6056338028169
MAXBIN__041	Unknown	3595911	81	62534	55.77624307195644	63.38028169014085	26.760563380281692
MAXBIN__042	Unknown	3036059	67	131849	43.59576630923296	0.0	0.0
MAXBIN__043	Unknown	1430672	29	876948	47.94997912070693	83.09859154929578	16.901408450704224
MAXBIN__044	Unknown	5068212	183	51567	59.41903050707316	90.14084507042253	114.08450704225352
MAXBIN__045	Unknown	3635169	98	60396	47.02055393253625	38.028169014084504	25.35211267605634
MAXBIN__046	Unknown	5156665	82	90939	63.167338551829666	95.77464788732394	121.12676056338029
MAXBIN__047	Unknown	2543509	27	445036	58.70704505601605	78.87323943661971	23.943661971830984
MAXBIN__048	Unknown	7470665	148	186617	29.838475985084063	0.0	0.0
MAXBIN__049	Unknown	2614983	83	42177	51.265589889253235	22.535211267605632	14.084507042253522
MAXBIN__050	Unknown	115253	3	110059	58.486226997126856	0.0	0.0
MAXBIN__051	Unknown	1901230	64	48013	46.100609561783095	46.478873239436616	12.67605633802817
MAXBIN__052	Unknown	2081332	21	245517	51.11300066034104	49.29577464788732	11.267605633802816
MAXBIN__053	Unknown	3265828	118	65017	31.795254386460638	80.28169014084507	90.14084507042253
