bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Unknown	3593690	33	2273209	38.375308435472654	98.59154929577464	39.436619718309856
MAXBIN__002	Unknown	4928514	62	260778	46.559516794747	84.50704225352112	18.309859154929576
MAXBIN__003	Unknown	1596160	57	39435	38.26316920661485	66.19718309859155	23.943661971830984
MAXBIN__004	Unknown	2257735	56	59155	51.6761530552744	87.32394366197182	12.67605633802817
MAXBIN__005	Unknown	2205078	2	2203121	53.674787316298044	84.50704225352112	18.309859154929576
MAXBIN__006	Unknown	1957603	61	297577	45.12783540679801	59.15492957746479	54.929577464788736
MAXBIN__007	Unknown	3434729	4	2198562	49.56109577256031	83.09859154929578	4.225352112676056
MAXBIN__008	Unknown	3112920	4	2520276	56.95172022315821	100.0	8.450704225352112
MAXBIN__009	Unknown	3807826	13	925028	53.52616721508263	95.77464788732394	4.225352112676056
MAXBIN__010	Unknown	3321143	48	242666	48.69851663742008	69.01408450704226	19.718309859154928
MAXBIN__011	Unknown	3647191	46	188109	33.57823350907726	97.1830985915493	42.25352112676056
MAXBIN__012	Unknown	3234767	17	1174100	46.47345742660352	92.95774647887323	11.267605633802816
MAXBIN__013	Unknown	3335679	30	1936472	49.55465632958129	100.0	11.267605633802816
MAXBIN__014	Unknown	6690583	79	489018	41.851964517782456	95.77464788732394	2.816901408450704
MAXBIN__015	Unknown	2774683	3	1472723	50.688054951625915	100.0	1.408450704225352
MAXBIN__016	Unknown	2453605	60	296699	46.62711211028333	0.0	0.0
MAXBIN__017	Unknown	2019963	4	1012110	55.29800261166299	74.64788732394366	2.816901408450704
MAXBIN__018	Unknown	2394045	8	1657830	56.22135408761666	85.91549295774648	0.0
MAXBIN__019	Unknown	1939104	10	1228447	37.825839346384235	98.59154929577464	1.408450704225352
MAXBIN__020	Unknown	2763464	12	869315	52.91347962276719	36.61971830985915	12.67605633802817
MAXBIN__021	Unknown	5273824	38	1637715	49.993892548265215	100.0	25.35211267605634
MAXBIN__022	Unknown	2082393	10	437574	58.07518767596842	84.50704225352112	0.0
MAXBIN__023	Unknown	1627231	10	351479	57.248128142237405	45.070422535211264	7.042253521126761
MAXBIN__024	Unknown	5058572	70	283324	44.037018619306174	85.91549295774648	39.436619718309856
MAXBIN__025	Unknown	5281923	65	126222	44.17491956800491	90.14084507042253	45.070422535211264
MAXBIN__026	Unknown	2781683	9	683087	51.418269617496605	97.1830985915493	8.450704225352112
MAXBIN__027	Unknown	5754417	110	113243	44.57455302522951	50.70422535211268	23.943661971830984
MAXBIN__028	Unknown	2161334	24	229538	28.846161257135787	85.91549295774648	12.67605633802817
MAXBIN__029	Unknown	4756474	147	51763	35.47259430788852	56.33802816901409	19.718309859154928
MAXBIN__030	Unknown	1784919	47	56968	58.71724631375525	70.4225352112676	81.69014084507042
MAXBIN__031	Unknown	5017045	120	157660	52.839950740289595	100.0	25.35211267605634
MAXBIN__032	Unknown	2074643	3	1752143	54.440617523484306	78.87323943661971	4.225352112676056
MAXBIN__033	Unknown	1442787	27	88250	29.651582356115664	60.563380281690144	52.11267605633803
MAXBIN__034	Unknown	1805622	101	35629	42.79770525988098	0.0	0.0
MAXBIN__035	Unknown	1264416	15	689738	28.70637831542316	87.32394366197182	15.492957746478874
MAXBIN__036	Unknown	2359675	23	193325	51.36034391694279	80.28169014084507	18.309859154929576
MAXBIN__037	Unknown	4755715	28	636983	49.83186050913611	91.54929577464789	11.267605633802816
MAXBIN__038	Unknown	1928790	11	421408	52.17443773471171	74.64788732394366	15.492957746478874
MAXBIN__039	Unknown	2023288	75	41220	57.71554836536653	30.985915492957748	8.450704225352112
MAXBIN__040	Unknown	1947957	3	1909714	55.495165017875316	83.09859154929578	7.042253521126761
MAXBIN__041	Unknown	3125117	11	1078132	46.49783265394529	90.14084507042253	4.225352112676056
MAXBIN__042	Unknown	1797983	11	334661	56.031768147075866	76.05633802816901	4.225352112676056
MAXBIN__043	Unknown	1387154	9	419316	55.098670169998485	63.38028169014085	11.267605633802816
MAXBIN__044	Unknown	860688	20	54603	56.85134084651751	53.521126760563384	7.042253521126761
MAXBIN__045	Unknown	2682209	25	367288	56.18638585255999	85.91549295774648	18.309859154929576
MAXBIN__046	Unknown	2179541	31	182877	46.1133402826789	76.05633802816901	60.563380281690144
MAXBIN__047	Unknown	2592619	31	160597	27.06048625121117	84.50704225352112	39.436619718309856
MAXBIN__048	Unknown	3889327	55	2802511	39.61758541213616	97.1830985915493	30.985915492957748
MAXBIN__049	Unknown	2568066	63	84215	45.924879188426466	22.535211267605632	8.450704225352112
MAXBIN__050	Unknown	4166586	52	191481	48.94778933646827	47.88732394366197	4.225352112676056
MAXBIN__051	Unknown	6355630	308	80265	39.46447830072349	87.32394366197182	28.169014084507044
MAXBIN__052	Unknown	4998769	33	265229	45.23914534821771	90.14084507042253	18.309859154929576
