bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	1814459	51	50482	62.457046205735224	35.2112676056338	7.042253521126761
Bin_1	Unknown	946335	26	39171	47.44704499360853	29.577464788732396	11.267605633802816
Bin_10	Unknown	1080061	24	53763	45.72735227431928	30.985915492957748	12.67605633802817
Bin_100	Unknown	3926910	25	538018	39.497589620705384	100.0	77.46478873239437
Bin_101	Unknown	9113100	141	83659	49.90505075031668	97.1830985915493	270.4225352112676
Bin_102	Unknown	14511	1	14511	53.7867824409069	0.0	0.0
Bin_103	Unknown	11230	2	8248	42.85981407357823	0.0	0.0
Bin_104	Unknown	29294	1	29294	40.13791220045061	0.0	0.0
Bin_105	Unknown	1350512	23	145647	54.92491530273951	0.0	0.0
Bin_106	Unknown	788384	44	41149	50.03127709748296	0.0	0.0
Bin_107	Unknown	13466	1	13466	47.371156987969705	0.0	0.0
Bin_108	Unknown	3915300	45	188908	57.7195358468779	95.77464788732394	61.971830985915496
Bin_109	Unknown	11223922	258	52360	43.72650804359109	97.1830985915493	233.80281690140845
Bin_11	Unknown	1577403	33	78117	55.62658886510577	38.028169014084504	1.408450704225352
Bin_110	Unknown	1266486	23	62271	30.048826214938924	0.0	0.0
Bin_111	Unknown	15578159	651	47759	55.041139305264885	100.0	297.1830985915493
Bin_112	Unknown	125871	15	10492	44.35010859127211	0.0	0.0
Bin_113	Unknown	4480220	27	362469	48.94661545156897	98.59154929577464	7.042253521126761
Bin_114	Unknown	327558	4	81493	44.50939039942659	0.0	0.0
Bin_115	Unknown	593619	56	13761	36.7206814601436	0.0	0.0
Bin_116	Unknown	975305	23	58499	45.723035948892175	26.760563380281692	1.408450704225352
Bin_117	Unknown	1102258	62	36988	51.608545864684466	0.0	0.0
Bin_118	Unknown	41957	2	31957	55.7312318114967	0.0	0.0
Bin_119	Unknown	2689195	78	53943	50.412628905462384	71.83098591549296	11.267605633802816
Bin_12	Unknown	308350	4	74849	39.52609630731841	0.0	0.0
Bin_120	Unknown	53562	3	31806	57.74076678359814	0.0	0.0
Bin_121	Unknown	957972	31	41189	46.650548759141024	45.070422535211264	8.450704225352112
Bin_122	Unknown	576697	4	295744	40.68915075160049	0.0	0.0
Bin_123	Unknown	3619171	71	89784	44.10411826694266	81.69014084507042	76.05633802816901
Bin_124	Unknown	42040318	1521	41481	58.33827761606898	100.0	918.3098591549295
Bin_125	Unknown	108641	34	4212	44.635626810993564	0.0	0.0
Bin_126	Unknown	7803345	106	266791	50.07860416216662	98.59154929577464	104.22535211267606
Bin_127	Unknown	2388905	26	1952317	35.275358433654205	98.59154929577464	11.267605633802816
Bin_128	Unknown	816468	22	43821	57.69688134001464	23.943661971830984	8.450704225352112
Bin_129	Unknown	4423340	162	38741	53.57156902053449	43.66197183098591	22.535211267605632
Bin_13	Unknown	1558751	11	801113	30.867843675242717	81.69014084507042	7.042253521126761
Bin_130	Unknown	4423532	62	2520764	42.01904938205325	87.32394366197182	116.90140845070422
Bin_131	Unknown	5653721	38	389573	54.648114139040295	100.0	71.83098591549296
Bin_132	Unknown	7218456	121	230993	37.05074098141615	97.1830985915493	178.8732394366197
Bin_14	Unknown	21166143	351	144047	45.98145916263127	80.28169014084507	1471.8309859154929
