bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	1358254	18	134010	25.304683782182103	66.19718309859155	16.901408450704224
Bin_1	Unknown	14200534	949	27595	60.029552806095	98.59154929577464	201.40845070422534
Bin_10	Unknown	3307948	44	136298	43.7560512214733	91.54929577464789	39.436619718309856
Bin_100	Unknown	16095823	237	92650	34.70289901392515	52.11267605633803	21.12676056338028
Bin_101	Unknown	6438633	181	61603	50.33619296070857	97.1830985915493	57.74647887323944
Bin_102	Unknown	8189471	49	428772	46.9412335608028	100.0	132.3943661971831
Bin_103	Unknown	59911960	1891	47859	46.64891176527606	100.0	1198.5915492957747
Bin_104	Unknown	54591	11	13577	49.86042575402104	0.0	0.0
Bin_105	Unknown	2252379	55	57975	41.68914058138378	67.6056338028169	25.35211267605634
Bin_106	Unknown	92016	19	12852	51.972543665653895	0.0	0.0
Bin_107	Unknown	1043122	39	37080	46.35112300170502	0.0	0.0
Bin_108	Unknown	18738	3	11648	36.292243087414604	0.0	0.0
Bin_109	Unknown	15775	1	15775	49.05229793977813	0.0	0.0
Bin_11	Unknown	2974064	31	243303	47.22595968709605	61.971830985915496	14.084507042253522
Bin_110	Unknown	492746	11	56778	44.279207314298766	47.88732394366197	12.67605633802817
Bin_111	Unknown	6677	3	2482	27.203372615225323	0.0	0.0
Bin_112	Unknown	153625	5	41514	45.19212489482933	0.0	0.0
Bin_113	Unknown	17718485	279	363472	44.16923249214887	100.0	297.1830985915493
Bin_114	Unknown	43104	2	23549	42.389328532935224	0.0	0.0
Bin_115	Unknown	4420157	11	4286836	45.11999351693608	100.0	1.408450704225352
Bin_116	Unknown	25054929	473	74553	27.46234398194231	35.526315789473685	21.05263157894737
Bin_117	Unknown	1342555	31	54724	41.54429108901269	59.15492957746479	11.267605633802816
Bin_118	Unknown	4660456	42	3117438	40.683731801813344	98.59154929577464	63.38028169014085
Bin_119	Unknown	45165	8	10698	24.704619736662593	0.0	0.0
Bin_12	Unknown	138415	12	21243	39.94391189386917	0.0	0.0
Bin_120	Unknown	442535	42	19191	41.91443089360051	0.0	0.0
Bin_121	Unknown	23865869	862	43369	56.22021211308464	100.0	502.8169014084507
Bin_122	Unknown	45474	6	9030	37.482001715171464	0.0	0.0
Bin_123	Unknown	87879696	3647	35498	58.597449080002995	100.0	2004.225352112676
Bin_124	Unknown	1603741	380	7117	29.510901526109436	0.0	0.0
Bin_125	Unknown	1512	1	1512	44.44444444444444	0.0	0.0
Bin_126	Unknown	3025901	48	107581	46.133260935388165	74.64788732394366	7.042253521126761
Bin_127	Unknown	54792	5	12853	29.728427109297535	0.0	0.0
Bin_128	Unknown	4584	1	4584	31.195462478184993	0.0	0.0
Bin_129	Unknown	14238528	219	150126	27.801870847107484	94.36619718309859	716.9014084507043
Bin_13	Unknown	6848	1	6848	49.92698598130841	0.0	0.0
Bin_130	Unknown	302325	5	86571	34.28860193790718	0.0	0.0
Bin_131	Unknown	103010379	1603	88678	27.01594931551124	28.91566265060241	14.457831325301205
Bin_132	Unknown	633797	36	19498	53.55738782737179	0.0	0.0
Bin_133	Unknown	1565029	28	105311	45.984489519516366	70.4225352112676	8.450704225352112
Bin_134	Unknown	1180558	33	46114	50.00192249816341	0.0	0.0
Bin_135	Unknown	4998330	56	326071	36.47542531884297	97.1830985915493	138.0281690140845
Bin_136	Unknown	122082	19	8932	40.696782873360796	0.0	0.0
Bin_137	Unknown	1768621	17	319424	26.390015958294953	88.73239436619718	16.901408450704224
Bin_138	Unknown	39288	6	11928	54.34141886856876	0.0	0.0
Bin_139	Unknown	2654281	84	36861	37.28911663934549	64.78873239436619	14.084507042253522
