bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	1404404	23	67068	38.37951810406752	42.25352112676056	8.450704225352112
Bin_1	1084523	15	79968	45.40425033685658	0.0	0.0
Bin_100	4098170	25	844764	41.84809155920341	98.59154929577464	5.633802816901408
Bin_101	5692289	411	91072	55.81958276390003	47.88732394366197	38.028169014084504
Bin_102_2	4573533	19	507676	50.949636750327564	95.77464788732394	9.859154929577464
Bin_103_2	4560452	14	815177	48.30415287825426	98.59154929577464	2.816901408450704
Bin_104	3497835	84	67653	45.51630339494997	46.478873239436616	15.492957746478874
Bin_105_2	775308	3	425532	32.16549478977363	73.2394366197183	14.084507042253522
Bin_105_3	1694319	15	242960	28.099677110428622	69.01408450704226	8.450704225352112
Bin_105_5	1824405	5	1297306	28.162921073872987	88.73239436619718	21.12676056338028
Bin_105_6	1606509	12	297661	28.05014054765899	84.50704225352112	15.492957746478874
Bin_105_9	1552312	21	96139	26.73840213123585	59.15492957746479	11.267605633802816
Bin_106	23173	1	23173	43.85275967721054	0.0	0.0
Bin_107_1	4151705	7	1134286	36.277825262684345	95.77464788732394	16.901408450704224
Bin_108	1954095	27	100807	40.65652193006199	53.521126760563384	12.67605633802817
Bin_109	3064237	33	236197	47.45731439965087	76.05633802816901	125.35211267605634
Bin_10_1	4332324	88	70471	46.92485265825654	61.971830985915496	18.309859154929576
Bin_10_3	3992409	40	145040	50.562277372553396	78.87323943661971	15.492957746478874
Bin_10_4	1262199	20	81930	47.79509972805849	61.971830985915496	9.859154929577464
Bin_11	283390	1	283390	60.335205851713624	0.0	0.0
Bin_110	3261	1	3261	44.280895430849434	0.0	0.0
Bin_111_1	713355	3	703148	27.9902992670634	87.32394366197182	0.0
Bin_112	3502128	51	104771	45.09179482225606	50.70422535211268	11.267605633802816
Bin_113	236288	8	35436	42.22360398977346	0.0	0.0
Bin_114	1673036	13	297399	47.358507806463734	73.2394366197183	16.901408450704224
Bin_115	2127540	16	308585	56.15394716948649	77.46478873239437	14.084507042253522
Bin_116	2884276	19	158785	39.91455651879993	76.05633802816901	21.12676056338028
Bin_117	51733	2	43233	38.90194773585276	0.0	0.0
Bin_118	49093	5	10860	16.936422016814255	0.0	0.0
Bin_119_2	2331812	34	86609	51.00760771935763	60.563380281690144	11.267605633802816
Bin_119_3	3044142	18	374101	60.422383769780794	90.14084507042253	9.859154929577464
Bin_119_4	2813262	25	175276	56.72319249208561	73.2394366197183	7.042253521126761
Bin_12	2349150	7	1262474	45.91484362761455	69.01408450704226	11.267605633802816
Bin_120	3098	2	1657	50.53332925694916	0.0	0.0
Bin_121	4024743	11	3576215	38.36962217542422	100.0	2.816901408450704
Bin_123	331397	3	253568	48.78529740926879	0.0	0.0
Bin_124	350902	5	182239	62.83578849841383	0.0	0.0
Bin_125_1	2736614	6	713945	51.64230582807412	69.01408450704226	15.492957746478874
Bin_125_10	2785256	9	1732006	51.16251720458563	91.54929577464789	1.408450704225352
Bin_125_11	2356868	5	682025	53.57550274056957	85.91549295774648	2.816901408450704
Bin_125_12	3561855	12	717883	51.619947115858864	98.59154929577464	4.225352112676056
Bin_125_13	3561591	21	1888586	52.791767358806666	90.14084507042253	7.042253521126761
Bin_125_15	2692921	5	590828	56.801797047663946	95.77464788732394	7.042253521126761
Bin_125_16	2564516	11	664768	50.75718229893176	56.33802816901409	12.67605633802817
Bin_125_17	3420629	5	1305649	51.00180094171527	95.77464788732394	4.225352112676056
Bin_125_18	2754037	4	2188832	50.20878090664681	97.1830985915493	9.859154929577464
Bin_125_19	2939985	6	615028	44.28831379223709	97.1830985915493	2.816901408450704
Bin_125_20	3316504	18	320081	49.98743139098946	91.54929577464789	8.450704225352112
Bin_125_21	2251456	19	139123	49.22153832694259	76.05633802816901	18.309859154929576
Bin_125_3	2480456	27	161489	48.69775308439042	61.971830985915496	14.084507042253522
Bin_125_4	2551808	30	247920	50.327617574708384	67.6056338028169	14.084507042253522
Bin_125_5	1500590	14	164569	49.152763182125106	33.80281690140845	14.084507042253522
Bin_125_6	2953299	17	468513	52.12767683022466	84.50704225352112	25.35211267605634
Bin_125_8	2557766	27	179639	50.2108904313489	78.87323943661971	16.901408450704224
Bin_125_9	3040783	11	525228	57.3119319639925	100.0	1.408450704225352
Bin_126	115739	12	14884	29.71408130508398	0.0	0.0
Bin_127_1	2581162	8	425299	49.211260517439946	80.28169014084507	12.67605633802817
Bin_128	87347	3	64918	48.55681832893399	0.0	0.0
Bin_13	5229343	349	24980	41.89697684323752	0.0	0.0
Bin_14	2281593	10	475810	48.36067152449026	60.563380281690144	16.901408450704224
Bin_15	1117602	24	53914	47.09961067511581	0.0	0.0
Bin_16_1	2255324	7	654228	38.75152535646468	94.36619718309859	5.633802816901408
Bin_17_1	2722166	2	2717423	49.08372523105129	100.0	1.408450704225352
Bin_17_2	2003352	11	1249476	53.10328867778528	91.54929577464789	15.492957746478874
Bin_18_1	3569363	2	2383686	43.26293873961106	98.59154929577464	9.859154929577464
Bin_19_2	1538494	41	81016	46.38036047170142	60.563380281690144	5.633802816901408
Bin_19_8	2909775	40	112965	46.71392178790411	84.50704225352112	0.0
Bin_21	4441153	4	4334377	35.945932326173974	100.0	2.816901408450704
Bin_22	247524	5	46357	42.480011520392786	0.0	0.0
Bin_23_4	1580953	30	103972	44.894289215189836	50.70422535211268	2.816901408450704
Bin_23_5	4699044	38	239045	43.181640816854596	85.91549295774648	4.225352112676056
Bin_24_1	3499996	2	2993102	47.11695149039709	98.59154929577464	7.042253521126761
Bin_25	110716	33	3685	40.013371466954986	0.0	0.0
Bin_26	806587	211	5061	47.95926110001755	0.0	0.0
