bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	Unknown	2078865	19	335498	39.103141487227546	47.88732394366197	0.0
MAXBIN__002	Unknown	513100	34	99494	41.80692997534059	52.11267605633803	1.408450704225352
MAXBIN__003	Unknown	2408867	15	720549	62.57099740008992	100.0	4.225352112676056
MAXBIN__004	Unknown	2745419	3	2727167	45.314298960747216	98.59154929577464	2.816901408450704
MAXBIN__005	Unknown	3446845	4	3412038	39.28507406651927	100.0	4.225352112676056
MAXBIN__006	Unknown	750727	60	31677	41.56218578137158	0.0	0.0
MAXBIN__007	Unknown	3885843	17	3560009	47.48537850968712	100.0	0.0
MAXBIN__008	Unknown	2502967	36	276444	36.10753464477048	56.33802816901409	1.408450704225352
MAXBIN__009	Unknown	2169487	38	82847	41.78016233131008	88.73239436619718	49.29577464788732
MAXBIN__010	Unknown	2526352	38	246540	39.821163847221385	97.1830985915493	30.985915492957748
MAXBIN__011	Unknown	685107	9	511556	59.99623765887873	60.563380281690144	0.0
MAXBIN__012	Unknown	1266801	4	820973	60.91147005905888	69.01408450704226	0.0
MAXBIN__013	Unknown	984189	16	120894	55.065761919160195	50.70422535211268	1.408450704225352
MAXBIN__014	Unknown	903865	4	266154	58.22608081806065	22.535211267605632	4.225352112676056
MAXBIN__015	Unknown	1342300	11	240840	60.65584731155926	36.61971830985915	8.450704225352112
MAXBIN__016	Unknown	1585408	14	302627	45.818710731050075	47.88732394366197	2.816901408450704
MAXBIN__017	Unknown	1285252	13	310076	45.581969866757674	74.64788732394366	4.225352112676056
MAXBIN__018	Unknown	1945798	4	1931449	54.25529799505395	95.77464788732394	0.0
MAXBIN__019	Unknown	770930	4	556722	48.33629306203166	74.64788732394366	2.816901408450704
MAXBIN__020	Unknown	4468019	53	362469	48.890150044687246	94.36619718309859	2.816901408450704
MAXBIN__021	Unknown	2545827	56	71997	50.50364464636677	64.78873239436619	29.577464788732396
MAXBIN__022	Unknown	2019710	72	52116	57.158244450581186	49.29577464788732	4.225352112676056
MAXBIN__023	Unknown	4385811	88	210310	41.32679854378153	76.05633802816901	4.225352112676056
MAXBIN__024	Unknown	232186	4	144198	47.07777442020734	0.0	0.0
MAXBIN__025	Unknown	2654142	63	219766	34.768424086909214	59.15492957746479	14.084507042253522
MAXBIN__026	Unknown	3596456	8	2171489	46.76739548428031	100.0	4.225352112676056
MAXBIN__027	Unknown	3468220	30	152392	57.37976739807548	98.59154929577464	25.35211267605634
MAXBIN__028	Unknown	3607306	43	212416	55.42426739342579	98.59154929577464	4.225352112676056
MAXBIN__029	Unknown	3922803	77	96446	41.55668989144126	95.77464788732394	71.83098591549296
MAXBIN__030	Unknown	2007478	38	84547	55.340596973368704	38.028169014084504	4.225352112676056
MAXBIN__031	Unknown	3348879	10	3127779	52.2493932089701	97.1830985915493	4.225352112676056
MAXBIN__032	Unknown	1035022	20	137030	49.01034213002233	26.760563380281692	9.859154929577464
MAXBIN__033	Unknown	4709501	340	21403	41.08704973637668	0.0	0.0
MAXBIN__034	Unknown	4204516	70	287155	52.28331795967459	100.0	8.450704225352112
MAXBIN__035	Unknown	3145304	17	914785	45.901075901295975	95.77464788732394	5.633802816901408
MAXBIN__036	Unknown	2531984	4	2502609	56.918845993804126	100.0	1.408450704225352
MAXBIN__037	Unknown	4662694	109	95891	49.8049085085556	97.1830985915493	39.436619718309856
MAXBIN__038	Unknown	3966528	165	43069	63.235890169516885	90.14084507042253	53.521126760563384
MAXBIN__039	Unknown	3314889	9	2942305	46.51836800230462	92.95774647887323	4.225352112676056
MAXBIN__040	Unknown	2021082	8	1127984	45.185811277310485	92.95774647887323	1.408450704225352
MAXBIN__041	Unknown	117619	7	20640	44.72743395385905	0.0	0.0
MAXBIN__042	Unknown	1225939	13	671044	26.872839415153255	87.32394366197182	0.0
MAXBIN__043	Unknown	2211786	12	317606	57.403403020076695	90.14084507042253	4.225352112676056
MAXBIN__044	Unknown	173651	16	15114	60.79618061596781	0.0	0.0
MAXBIN__045	Unknown	3261571	78	392694	35.01906153915473	95.77464788732394	7.042253521126761
MAXBIN__046	Unknown	1720316	54	60654	51.22186585179872	76.05633802816901	32.394366197183096
MAXBIN__047	Unknown	4183151	86	65829	48.72918832005478	47.88732394366197	9.859154929577464
MAXBIN__048	Unknown	4264976	35	549173	44.258958371425315	98.59154929577464	18.309859154929576
MAXBIN__049	Unknown	3541294	82	94718	53.77759138098022	98.59154929577464	25.35211267605634
MAXBIN__050	Unknown	1283747	32	191455	48.932982353690804	32.394366197183096	2.816901408450704
MAXBIN__051	Unknown	260746	21	22215	58.53566944625071	0.0	0.0
MAXBIN__052	Unknown	3503057	4	2654142	52.917362953250844	95.77464788732394	9.859154929577464
MAXBIN__053	Unknown	4227427	66	177636	43.46569422941793	95.77464788732394	18.309859154929576
MAXBIN__054	Unknown	2546202	70	55503	50.66828330992104	71.83098591549296	11.267605633802816
MAXBIN__055	Unknown	2665683	51	83569	52.328646378334845	73.2394366197183	7.042253521126761
MAXBIN__056	Unknown	2044737	51	50502	62.46481051174033	64.78873239436619	15.492957746478874
MAXBIN__057	Unknown	1011307	49	24727	55.78031570242112	0.0	0.0
MAXBIN__058	Unknown	4596419	107	83429	52.52757478135227	85.91549295774648	49.29577464788732
MAXBIN__059	Unknown	2329058	46	69682	57.23532720037322	85.91549295774648	7.042253521126761
MAXBIN__060	Unknown	578850	50	15416	61.51435193174015	0.0	0.0
MAXBIN__061	Unknown	2273602	115	30332	53.06625959636624	0.0	0.0
MAXBIN__062	Unknown	1873148	57	50482	62.945383032519906	36.61971830985915	8.450704225352112
MAXBIN__063	Unknown	552206	40	22382	59.14059905719058	0.0	0.0
MAXBIN__064	Unknown	523005	10	74071	50.49339103749135	60.563380281690144	9.859154929577464
MAXBIN__065	Unknown	3516345	195	29762	54.30852050239506	0.0	0.0
MAXBIN__066	Unknown	2005901	22	175928	45.22604609049999	74.64788732394366	15.492957746478874
MAXBIN__067	Unknown	3287983	160	33629	50.67284876033666	0.0	0.0
MAXBIN__068	Unknown	3120376	42	1952317	36.80998407215507	100.0	83.09859154929578
MAXBIN__069	Unknown	3663264	66	75537	53.682407768355475	59.15492957746479	43.66197183098591
MAXBIN__070	Unknown	1313028	75	25058	39.50738395317065	0.0	0.0
MAXBIN__071	Unknown	2831374	100	35637	48.02835321977078	33.80281690140845	14.084507042253522
