bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_0	Unknown	3588099	53	96602	36.32666940105345	94.36619718309859	7.042253521126761
Bin_1	Unknown	546058	11	47740	43.25607285677433	0.0	0.0
Bin_10	Unknown	33519	3	13152	43.42574663519162	0.0	0.0
Bin_100_1	Unknown	2469320	14	366439	41.55008706569963	88.73239436619718	11.267605633802816
Bin_100_2	Unknown	4445483	25	317166	44.67418256478769	85.91549295774648	11.267605633802816
Bin_101	Unknown	13159698	239	76082	30.449321969258175	0.0	0.0
Bin_102	Unknown	2882835	62	61641	49.07578968968186	61.971830985915496	40.84507042253521
Bin_103	Unknown	372918	2	333876	40.292676918248695	0.0	0.0
Bin_104	Unknown	61434	2	36318	50.61153946004433	0.0	0.0
Bin_105	Unknown	1954759	19	167393	45.66454504812037	40.84507042253521	9.859154929577464
Bin_106	Unknown	2135409	36	120349	30.277366589097788	0.0	0.0
Bin_107	Unknown	19817070	400	76132	27.443691008004535	19.718309859154928	2.816901408450704
Bin_108_1	Unknown	845208	1	845208	48.3612225713135	74.64788732394366	8.450704225352112
Bin_108_12	Unknown	950292	4	615807	46.64197939038658	56.33802816901409	7.042253521126761
Bin_108_13	Unknown	1036695	9	211708	46.562309863032624	63.38028169014085	9.859154929577464
Bin_108_2	Unknown	958650	7	360812	45.347541403008	57.74647887323944	11.267605633802816
Bin_108_3	Unknown	1004238	12	143785	45.77154137960916	64.78873239436619	5.633802816901408
Bin_108_4	Unknown	720671	1	720671	40.7049615047882	66.19718309859155	7.042253521126761
Bin_108_6	Unknown	1220411	9	275908	49.93946984591434	66.19718309859155	9.859154929577464
Bin_108_7	Unknown	885119	5	315354	47.01781915587905	69.01408450704226	9.859154929577464
Bin_108_8	Unknown	1232652	12	185353	44.55583486461603	59.15492957746479	5.633802816901408
Bin_109	Unknown	42518	4	28454	72.08754332142396	0.0	0.0
Bin_11	Unknown	1529882	30	70838	50.23527220078506	53.521126760563384	9.859154929577464
Bin_110	Unknown	4692766	858	12068	60.166493188183864	59.15492957746479	35.2112676056338
Bin_111	Unknown	43557	4	24226	45.626695915930696	0.0	0.0
Bin_112	Unknown	9580750	484	35683	41.878467648889696	0.0	0.0
Bin_113	Unknown	385936	5	110642	48.68226232155384	0.0	0.0
Bin_114	Unknown	1386210	11	258147	48.59693660656432	59.15492957746479	5.633802816901408
Bin_115_1	Unknown	2670170	3	1631724	54.657125515250904	90.14084507042253	2.816901408450704
Bin_116	Unknown	1382832	12	152469	48.06596059883502	74.64788732394366	22.535211267605632
Bin_117	Unknown	53646	1	53646	48.47229129285518	0.0	0.0
Bin_118_1	Unknown	1731129	11	379373	57.9335873464654	74.64788732394366	7.042253521126761
Bin_118_2	Unknown	1271095	8	701728	55.17517804477996	69.01408450704226	7.042253521126761
Bin_118_3	Unknown	1880433	24	191570	54.76934908013435	42.25352112676056	2.816901408450704
Bin_119_1	Unknown	3867702	13	550375	50.037753654899674	85.91549295774648	11.267605633802816
Bin_119_2	Unknown	3563860	49	94912	43.65405438718228	81.69014084507042	15.492957746478874
Bin_119_6	Unknown	3673464	61	124486	45.752684401765784	85.91549295774648	9.859154929577464
Bin_12	Unknown	215713	30	16812	38.50641266045865	0.0	0.0
Bin_120	Unknown	199967	38	13457	31.72695298809753	0.0	0.0
Bin_121	Unknown	1196	1	1196	47.575250836120404	0.0	0.0
Bin_122	Unknown	516531	240	2222	44.727561989883	0.0	0.0
Bin_123	Unknown	108578	3	83838	48.91974035150376	0.0	0.0
Bin_124_2	Unknown	4136637	62	121929	43.98359023865644	85.91549295774648	7.042253521126761
Bin_125_1	Unknown	3111152	24	343427	54.499400595667204	97.1830985915493	14.084507042253522
Bin_125_10	Unknown	4400041	36	2218044	49.383680100472645	94.36619718309859	19.718309859154928
Bin_125_11	Unknown	2342963	7	475972	53.33346358712269	88.73239436619718	4.225352112676056
Bin_125_12	Unknown	2575768	18	187417	56.533135038012496	84.50704225352112	5.633802816901408
Bin_125_2	Unknown	2901519	11	726061	51.8148911055615	94.36619718309859	12.67605633802817
Bin_125_25	Unknown	2778472	12	569537	57.46033870569324	87.32394366197182	2.816901408450704
Bin_125_26	Unknown	2155542	3	1595241	51.6373132983889	88.73239436619718	4.225352112676056
Bin_125_27	Unknown	3756629	10	2323027	45.5880893802087	100.0	4.225352112676056
Bin_125_29	Unknown	2886517	17	237907	52.70082289338224	77.46478873239437	5.633802816901408
Bin_125_3	Unknown	3132137	13	495824	48.17908340267312	100.0	1.408450704225352
Bin_125_30	Unknown	3187849	18	370511	53.751730516619624	100.0	1.408450704225352
Bin_125_31	Unknown	3214484	7	2404909	53.32202317038747	95.77464788732394	1.408450704225352
Bin_125_32	Unknown	3127178	10	641735	55.209295421451706	98.59154929577464	1.408450704225352
Bin_125_33	Unknown	3609948	28	463054	47.53013743890243	90.14084507042253	39.436619718309856
Bin_125_34	Unknown	4255019	27	255580	50.87176638024415	54.929577464788736	29.577464788732396
Bin_125_35	Unknown	3570177	34	189019	51.29740642886128	83.09859154929578	60.563380281690144
Bin_125_36	Unknown	4308058	38	384134	51.23263921690094	91.54929577464789	69.01408450704226
Bin_125_37	Unknown	3590466	64	86072	49.095193113650026	67.6056338028169	15.492957746478874
Bin_125_38	Unknown	3441283	7	803217	52.08631500997226	53.521126760563384	28.169014084507044
Bin_125_39	Unknown	2510595	10	284230	51.78503431457695	77.46478873239437	23.943661971830984
Bin_125_4	Unknown	3447802	15	668189	54.76056739489301	94.36619718309859	5.633802816901408
Bin_125_40	Unknown	2988225	6	778213	49.727039393814124	92.95774647887323	7.042253521126761
Bin_125_44	Unknown	3466875	2	2501164	48.26106943364017	91.54929577464789	33.80281690140845
Bin_125_47	Unknown	2970942	4	1821473	49.6066194838633	97.1830985915493	8.450704225352112
Bin_125_5	Unknown	2879112	7	668258	49.20638087970867	100.0	5.633802816901408
Bin_125_6	Unknown	4596600	6	2862165	50.56903548995913	98.59154929577464	4.225352112676056
Bin_125_8	Unknown	2605744	13	286382	51.95664773713658	64.78873239436619	9.859154929577464
Bin_125_9	Unknown	3666389	35	685641	49.028129328288415	81.69014084507042	26.760563380281692
Bin_126	Unknown	2276753	28	142271	52.4857944543201	0.0	0.0
Bin_127	Unknown	2716	1	2716	36.89248895434463	0.0	0.0
Bin_128	Unknown	300549	56	10839	42.02039514678743	0.0	0.0
Bin_129	Unknown	9364199	119	116361	49.24273923431037	97.1830985915493	177.46478873239437
Bin_13	Unknown	2936729	45	180250	32.34244528569891	63.38028169014085	12.67605633802817
Bin_130	Unknown	3044766	40	129323	34.050584227548526	0.0	0.0
Bin_131_1	Unknown	3179178	1	3179178	47.99996678201225	98.59154929577464	2.816901408450704
Bin_131_4	Unknown	1501232	2	1272034	51.794572631614514	78.87323943661971	2.816901408450704
Bin_132_1	Unknown	672145	1	672145	29.109449750399907	87.32394366197182	0.0
Bin_132_2	Unknown	2008841	9	354308	27.944058184404657	84.50704225352112	19.718309859154928
Bin_133	Unknown	1966	1	1966	46.94811800610376	0.0	0.0
Bin_134	Unknown	1792866	10	228406	45.40957417334646	50.70422535211268	1.408450704225352
Bin_14	Unknown	584310	4	334875	61.960920170973154	0.0	0.0
Bin_15	Unknown	714302	11	73943	41.09265776054929	38.028169014084504	18.309859154929576
Bin_16	Unknown	27909	8	4207	26.790588996415394	0.0	0.0
Bin_17	Unknown	2234819	33	144678	44.36007280295058	49.29577464788732	15.492957746478874
Bin_18	Unknown	4775187	64	120952	57.102148144252126	66.19718309859155	63.38028169014085
Bin_19_1	Unknown	1789885	5	1197245	32.954561899578806	92.95774647887323	5.633802816901408
Bin_19_2	Unknown	1086026	17	123720	28.96827324391525	64.78873239436619	7.042253521126761
Bin_2	Unknown	13433	1	13433	45.819995533387925	0.0	0.0
Bin_20_1	Unknown	1755541	2	1463343	41.07621012521036	91.54929577464789	4.225352112676056
Bin_20_2	Unknown	2471204	23	289089	44.1632002227476	84.50704225352112	4.225352112676056
Bin_20_3	Unknown	1074778	17	88669	47.87483449400726	53.521126760563384	7.042253521126761
Bin_21	Unknown	1604708	7	411933	61.79769116090128	59.15492957746479	7.042253521126761
Bin_22	Unknown	2837081	25	158381	36.588591950160996	84.50704225352112	23.943661971830984
Bin_23	Unknown	147234	3	68592	44.20696349318095	0.0	0.0
Bin_24	Unknown	1571303	27	121131	35.31565658871415	56.33802816901409	5.633802816901408
Bin_25	Unknown	2181861	63	45628	47.59877632153431	28.169014084507044	5.633802816901408
Bin_26_1	Unknown	3486638	56	100246	54.81984173624058	88.73239436619718	7.042253521126761
Bin_27	Unknown	58078	1	58078	48.280800811881264	0.0	0.0
Bin_28	Unknown	40940	1	40940	49.80649953006677	0.0	0.0
Bin_29_1	Unknown	2760198	34	2085074	51.374941107081206	91.54929577464789	9.859154929577464
Bin_29_9	Unknown	4188456	25	240349	54.40438991013501	95.77464788732394	9.859154929577464
Bin_3	Unknown	1972364	33	73661	44.80331199268964	0.0	0.0
Bin_30	Unknown	951109	24	679126	25.489278632156697	87.32394366197182	0.0
Bin_31	Unknown	2254594	38	83422	43.4760141906063	78.87323943661971	12.67605633802817
Bin_32	Unknown	411154	16	62700	34.77598637809694	0.0	0.0
Bin_33	Unknown	100141	4	54010	51.10400135100156	0.0	0.0
Bin_34_3	Unknown	5367037	20	518803	46.68629703465815	95.77464788732394	19.718309859154928
Bin_34_4	Unknown	2594816	40	77923	46.5759235818392	73.2394366197183	11.267605633802816
Bin_35	Unknown	10737	1	10737	52.798733351960514	0.0	0.0
Bin_36	Unknown	501075	10	81998	46.580751319632355	0.0	0.0
Bin_37_1	Unknown	2955908	1	2955908	47.34712613540053	100.0	2.816901408450704
Bin_37_2	Unknown	3626267	3	2281779	48.15451125227699	100.0	2.816901408450704
Bin_38	Unknown	1203	1	1203	49.21030756442228	0.0	0.0
Bin_39	Unknown	2014979	14	322577	57.53751628838955	77.46478873239437	18.309859154929576
Bin_4	Unknown	2562654	22	144106	39.107693825303734	64.78873239436619	14.084507042253522
Bin_40	Unknown	3573221	36	324368	51.6743894112069	92.95774647887323	9.859154929577464
Bin_41	Unknown	14369	2	7554	46.12963041741428	0.0	0.0
Bin_42	Unknown	3434902	32	172039	42.392765511063196	88.73239436619718	14.084507042253522
Bin_43	Unknown	117993	4	41753	37.778120563225656	0.0	0.0
Bin_44	Unknown	39583	9	6961	45.78466578825516	0.0	0.0
Bin_45_4	Unknown	3336872	13	612630	52.69355796767851	95.77464788732394	1.408450704225352
Bin_45_5	Unknown	3208490	4	1992968	56.52189103458518	95.77464788732394	11.267605633802816
Bin_45_6	Unknown	3459042	23	763460	51.734019915417186	100.0	7.042253521126761
Bin_46	Unknown	44933	4	12763	45.629691937868536	0.0	0.0
Bin_47_2	Unknown	1898412	15	151340	40.606757181900946	97.1830985915493	19.718309859154928
Bin_47_4	Unknown	1756435	13	293385	53.99284308408865	84.50704225352112	7.042253521126761
Bin_47_5	Unknown	1913953	28	165245	44.022579001732055	91.54929577464789	9.859154929577464
Bin_48_1	Unknown	1720887	8	536494	37.358877206969204	90.14084507042253	22.535211267605632
Bin_49	Unknown	626450	10	107543	48.79691324668521	0.0	0.0
Bin_50	Unknown	1360135	16	121416	52.25375983260548	25.35211267605634	8.450704225352112
Bin_51	Unknown	2582185	40	100022	26.914430405239916	70.4225352112676	49.29577464788732
Bin_52	Unknown	2354769	42	71270	30.08906783878459	38.028169014084504	25.35211267605634
Bin_53	Unknown	368425	5	98691	47.163315932098534	0.0	0.0
Bin_54	Unknown	2721835	36	94605	43.06861048938137	61.971830985915496	8.450704225352112
Bin_55	Unknown	78192	1	78192	40.241671061131505	0.0	0.0
Bin_56	Unknown	6610	2	3934	32.60650509186328	0.0	0.0
Bin_57	Unknown	16476	2	14103	34.02739175649477	0.0	0.0
Bin_58_1	Unknown	3429251	44	167797	47.46350112264211	77.46478873239437	8.450704225352112
Bin_59	Unknown	478496	9	133097	54.601818022920966	0.0	0.0
Bin_5_1	Unknown	3448640	3	1906073	38.412792683820946	100.0	1.408450704225352
Bin_5_2	Unknown	3877511	8	1120486	49.34422530725703	98.59154929577464	8.450704225352112
Bin_5_3	Unknown	5684226	49	268797	44.077910368523725	98.59154929577464	4.225352112676056
